EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
366	12414662	Homo sapiens	Extracellular membrane vesicles from tumor cells promote angiogenesis via sphingomyelin.	Endothelial cells	cl	HMEC-1	Lipids	Thin layer chromatography	2002	-	Membrane vesicles
367	12746840	Homo sapiens	Proteomic analysis of human prostasomes.	Seminal fluid	ts	Normal donors-Seminal fluid	Protein	Mass spectrometry	2003	-	Prostasomes
368	16103114	Neisseria meningitidis	Biochemical and functional characterization of membrane blebs purified from Neisseria meningitidis serogroup B.	Neisseria meningitidis 	ts	Normal-Neisseria meningitidis Serogroup B	Protein	Mass spectrometry	2005	-	Membrane vesicles
369	16212402	Homo sapiens	The platelet microparticle proteome.	Platelets	ts	Normal donors-Platelets	Protein	Mass spectrometry	2005	-	Microparticles
370	16456881	Neisseria meningitidis	Outer membrane vesicles from group B Neisseria meningitidis delta gna33 mutant: proteomic and immunological comparison with detergent-derived outer membrane vesicles.	Neisseria meningitidis 	ts	Δgna33-Neisseria meningitidis MC58	Protein	Mass spectrometry	2006	-	Membrane vesicles
371	16456881	Neisseria meningitidis	Outer membrane vesicles from group B Neisseria meningitidis delta gna33 mutant: proteomic and immunological comparison with detergent-derived outer membrane vesicles.	Neisseria meningitidis 	ts	Δgna33-Neisseria meningitidis NZ98/254	Protein	Mass spectrometry	2006	-	Membrane vesicles
372	17096383	Mus musculus	Analysis of the extracellular matrix vesicle proteome in mineralizing osteoblasts.	Osteoblasts	cl	MC3T3-E1	Protein	Mass spectrometry	2007	-	Matrix vesicles
373	17787032	Escherichia coli	Global proteomic profiling of native outer membrane vesicles derived from Escherichia coli.	Escherichia coli 	ts	Normal-Escherichia coli DH5α	Protein	Mass spectrometry	2007	-	Membrane vesicles
374	18039940	Cryptococcus neoformans	Extracellular vesicles produced by Cryptococcus neoformans contain protein components associated with virulence.	Cryptococcus neoformans	ts	Normal-Cryptococcus neoformans	Protein	Mass spectrometry	2008	-	Exosomes/Extracellular vesicles
375	18095356	Gallus gallus	Proteome analysis of matrix vesicles isolated from femurs of chicken embryo.	17-day-old embryo leg bone	ts	Normal-17-day-old embryo leg bone	Protein	Mass spectrometry	2008	-	Matrix vesicles
376	18346024	Homo sapiens	The proteome of red cell membranes and vesicles during storage in blood bank conditions.	Red blood cells	cl	Microvesicle, Storage day 21-Red blood cells	Protein	Mass spectrometry	2008	-	Microvesicles/Nanovesicles
377	18346024	Homo sapiens	The proteome of red cell membranes and vesicles during storage in blood bank conditions.	Red blood cells	cl	Microvesicle, Storage day 3-Red blood cells	Protein	Mass spectrometry	2008	-	Microvesicles/Nanovesicles
378	18346024	Homo sapiens	The proteome of red cell membranes and vesicles during storage in blood bank conditions.	Red blood cells	cl	Microvesicle, Storage day 42-Red blood cells	Protein	Mass spectrometry	2008	-	Microvesicles/Nanovesicles
379	18346024	Homo sapiens	The proteome of red cell membranes and vesicles during storage in blood bank conditions.	Red blood cells	cl	Nanovesicle, Storage day 21-Red blood cells	Protein	Mass spectrometry	2008	-	Microvesicles/Nanovesicles
380	18346024	Homo sapiens	The proteome of red cell membranes and vesicles during storage in blood bank conditions.	Red blood cells	cl	Nanovesicle, Storage day 3-Red blood cells	Protein	Mass spectrometry	2008	-	Microvesicles/Nanovesicles
381	18346024	Homo sapiens	The proteome of red cell membranes and vesicles during storage in blood bank conditions.	Red blood cells	cl	Nanovesicle, Storage day 42-Red blood cells	Protein	Mass spectrometry	2008	-	Microvesicles/Nanovesicles
382	18373357	Homo sapiens	Isolation and identification of potential urinary microparticle biomarkers of bladder cancer.	Urine	ts	Normal donors-Urine	Protein	Mass spectrometry	2008	-	Microparticles
383	18373357	Homo sapiens	Isolation and identification of potential urinary microparticle biomarkers of bladder cancer.	Urine	ts	Patients of bladder cancer-Urine	Protein	Mass spectrometry	2008	-	Microparticles
384	18482993	Homo sapiens	Protein composition of human epididymosomes collected during surgical vasectomy reversal: a proteomic and genomic approach.	Epididymal fluid	ts	Normal-Epididymal fluid	Protein	Mass spectrometry	2008	-	Prostasomes
385	18563738	Homo sapiens	Comparative proteomic analysis of PAI-1 and TNF-alpha-derived endothelial microparticles.	Endothelial cells	cl	Endothelial cells (HUVEC)	Protein	Mass spectrometry	2008	-	Microparticles
386	18563738	Homo sapiens	Comparative proteomic analysis of PAI-1 and TNF-alpha-derived endothelial microparticles.	Endothelial cells	cl	Treated by PAI-1-Endothelial cell (HUVEC)	Protein	Mass spectrometry	2008	-	Microparticles
387	18563738	Homo sapiens	Comparative proteomic analysis of PAI-1 and TNF-alpha-derived endothelial microparticles.	Endothelial cells	cl	Treated by TNF-alpha-Endothelial cells (HUVEC)	Protein	Mass spectrometry	2008	-	Microparticles
388	18570454	Homo sapiens	Proteomic analysis of exosomes from human neural stem cells by flow field-flow fractionation and nanoflow liquid chromatography-tandem mass spectrometry.	Neural stem cells	cl	Neural stem cells (HB1.F3)	Protein	Mass spectrometry	2008	-	Exosomes/Membrane vesicles
389	18819103	Homo sapiens	Structural heterogeneity and protein composition of exosome-like vesicles (prostasomes) in human semen.	Seminal fluid	ts	Normal donors-Seminal fluid	Protein	Mass spectrometry	2009	-	Exosomes/Prostasomes
390	19158352	Homo sapiens	Characterization of PKD protein-positive exosome-like vesicles.	Urine	ts	Patients of autosomal recessive polycystic kidney disease-Urine	Protein	Mass spectrometry	2009	-	Exosomes/Membrane particles
391	19327352	Bos taurus	Anchorage-independent growth of breast carcinoma cells is mediated by serum exosomes.	Serum	ts	Normal-Fetal bovine serum	Protein	Mass spectrometry	2009	-	Exosomes
392	19351151	Mus musculus	Characterization of vesicles secreted from insulinoma NIT-1 cells.	Pancreatic cells	cl	Pancreatic beta cell (NIT-1)	Protein	Mass spectrometry	2009	-	Exosomes
393	19369228	Homo sapiens	Proteomic analysis reveals presence of platelet microparticles in endothelial progenitor cell cultures.	Endothelial cells	ts	Normal-Endothelial progenitor cells	Protein	Mass spectrometry	2009	-	Microparticles
394	19389847	Homo sapiens	Mesenchymal stem cell-derived microvesicles protect against acute tubular injury.	Mesenchymal stem cells	ts	Normal-Mesenchymal stem cells	mRNA	Microarray	2009	-	Microvesicles
395	19413345	Homo sapiens	Proteomic analysis of malignant B-cell derived microparticles reveals CD148 as a potentially useful antigenic biomarker for mantle cell lymphoma diagnosis.	B cells	ts	Patients of chronic lymphocytic leukemia-B cells	Protein	Mass spectrometry	2009	-	Microparticles
396	19413345	Homo sapiens	Proteomic analysis of malignant B-cell derived microparticles reveals CD148 as a potentially useful antigenic biomarker for mantle cell lymphoma diagnosis.	B cells	ts	Patients of mantle cell lymphoma-B cells	Protein	Mass spectrometry	2009	-	Microparticles
397	19413345	Homo sapiens	Proteomic analysis of malignant B-cell derived microparticles reveals CD148 as a potentially useful antigenic biomarker for mantle cell lymphoma diagnosis.	B cells	ts	Patients of  small cell lymphoma-B cells	Protein	Mass spectrometry	2009	-	Microparticles
398	19530224	Homo sapiens	Profile of exosomes related proteins released by differentiated and undifferentiated human keratinocytes.	Keratinocytes	ts	Differentiated-Keratinocytes	Protein	Mass spectrometry	2009	-	Exosomes
399	19530224	Homo sapiens	Profile of exosomes related proteins released by differentiated and undifferentiated human keratinocytes.	Keratinocytes	ts	Undifferentiated-Keratinocytes	Protein	Mass spectrometry	2009	-	Exosomes
400	19548894	Acinetobacter baumannii	Proteome analysis of outer membrane vesicles from a clinical Acinetobacter baumannii isolate.	Acinetobacter baumannii 	ts	Normal-Acinetobacter baumannii DU202	Protein	Mass spectrometry	2009	-	Membrane vesicles
401	19548909	Homo sapiens	Differential stimulation of monocytic cells results in distinct populations of microparticles.	Monocytes	cl	Monocytes (THP-1)	Protein	Mass spectrometry	2009	-	Microparticles
402	19548909	Homo sapiens	Differential stimulation of monocytic cells results in distinct populations of microparticles.	Monocytes	cl	Stimulated by IgG-Monocytes (THP-1)	Protein	Mass spectrometry	2009	-	Microparticles
403	19548909	Homo sapiens	Differential stimulation of monocytic cells results in distinct populations of microparticles.	Monocytes	cl	Stimulated by LPS-Monocytes (THP-1)	Protein	Mass spectrometry	2009	-	Microparticles
404	19548909	Homo sapiens	Differential stimulation of monocytic cells results in distinct populations of microparticles.	Monocytes	cl	Stimulated by P-selectin-Ig-Monocytes (THP-1)	Protein	Mass spectrometry	2009	-	Microparticles
405	19650833	Homo sapiens	Human liver stem cell-derived microvesicles accelerate hepatic regeneration in hepatectomized rats.	Hepatocytes	ts	Normal-Hepatocytes	mRNA	Microarray	2010	-	Microvesicles
406	19806257	Homo sapiens	Proteomic and functional characterisation of platelet microparticle size classes.	Platelets	ts	Normal donors-Platelets	Protein	Mass spectrometry	2009	-	Microparticles
407	19834908	Staphylococcus aureus	Gram-positive bacteria produce membrane vesicles: proteomics-based characterization of Staphylococcus aureus-derived membrane vesicles.	Staphylococcus aureus 	ts	Normal-Staphylococcus aureus ATCC14458	Protein	Mass spectrometry	2009	-	Membrane vesicles
408	20031610	Homo sapiens	Proteomics, metabolomics, and immunomics on microparticles derived from human atherosclerotic plaques.	Carotid atherosclerotic plaques	ts	Normal-Carotid atherosclerotic plaque	Metabolites	Proton Nucelar Magnetic Resonance Spectrometry	2009	-	Microparticles
409	20031610	Homo sapiens	Proteomics, metabolomics, and immunomics on microparticles derived from human atherosclerotic plaques.	Carotid atherosclerotic plaques	ts	Patients of carotid atherosclerosis-Carotid atherosclerotic plaque	Protein	Mass spectrometry	2009	-	Microparticles
410	20052414	Homo sapiens	Nanostructural and transcriptomic analyses of human saliva derived exosomes.	Saliva	ts	Normal-Saliva	mRNA	Microarray	2010	-	Exosomes/Membrane vesicles
411	20124223	Homo sapiens	Hypoxic tumor cell modulates its microenvironment to enhance angiogenic and metastatic potential by secretion of proteins and exosomes.	Squamous carcinoma cells	cl	Squamous carcinoma cell (A431)	Protein	Mass spectrometry	2010	-	Exosomes
412	20156641	Homo sapiens	Proteomics of microparticles after deep venous thrombosis.	Plasma	ts	Normal donors and patients of deep venous thrombosis-Plasma	Protein	Mass spectrometry	2010	-	Membrane vesicles/Microparticles
413	20535238	Rattus norvegicus	Candidate biomarkers in exosome-like vesicles purified from rat and mouse urine samples.	Urine	ts	Rats of liver injury-Urine	Protein	Mass spectrometry	2010	-	Exosomes
414	20559436	Saccharomyces cerevisiae	Characterization of yeast extracellular vesicles: evidence for the participation of different pathways of cellular traffic in vesicle biogenesis.	Saccharomyces cerevisiae	ts	Normal-Saccharomyces cerevisiae	Protein	Mass spectrometry	2010	-	Extracellular vesicles
415	20687614	Myxococcus xanthus	Profiling the outer membrane proteome during growth and development of the social bacterium Myxococcus xanthus by selective biotinylation and analyses of outer membrane vesicles.	Myxococcus xanthus	ts	Developmental cell-Myxococcus xanthus DK1622	Protein	Mass spectrometry	2010	-	Membrane vesicles
416	20687614	Myxococcus xanthus	Profiling the outer membrane proteome during growth and development of the social bacterium Myxococcus xanthus by selective biotinylation and analyses of outer membrane vesicles.	Myxococcus xanthus 	ts	Vegetative cell-Myxococcus xanthus DK1622	Protein	Mass spectrometry	2010	-	Membrane vesicles
417	20956325	Bacillus anthracis	Bacillus anthracis produces membrane-derived vesicles containing biologically active toxins.	Bacillus anthracis 	ts	Normal-Bacillus anthracis Sterne strain 34F2	Lipids	Gas chromatography	2010	-	Extracellular vesicles
418	21049385	Homo sapiens	The plasma microparticle proteome.	Plasma	ts	Normal donors-Plasma	Protein	Mass spectrometry	2010	-	Microparticles
419	21136642	Mus musculus	Oligodendrocytes secrete exosomes containing major myelin and stress-protective proteins: Trophic support for axons?	Oligodendrocytes	ts	Normal-Oligodendrocytes	Protein	Mass spectrometry	2007	-	Exosomes
420	21136987	Helicobacter pylori	Proteomic and functional characterization of the outer membrane vesicles from the gastric pathogen Helicobacter pylori.	Helicobacter pylori 	ts	Normal-Helicobacter pylori J99	Protein	Mass spectrometry	2009	-	Membrane vesicles
421	21136987	Helicobacter pylori	Proteomic and functional characterization of the outer membrane vesicles from the gastric pathogen Helicobacter pylori.	Helicobacter pylori 	ts	Normal-Helicobacter pylori NCTC 11637	Protein	Mass spectrometry	2009	-	Membrane vesicles
422	21138299	Francisella philomiragia	Proteomic characterization and functional analysis of outer membrane vesicles of Francisella novicida suggests possible role in virulence and use as a vaccine.	Francisella philomiragia 	ts	Normal-Francisella philomiragia ATCC25015	Protein	Mass spectrometry	2011	-	Membrane vesicles
423	21138299	Francisella tularensis	Proteomic characterization and functional analysis of outer membrane vesicles of Francisella novicida suggests possible role in virulence and use as a vaccine.	Francisella tularensis 	ts	Normal-Francisella tularensis subsp. Novicida ATCC15482	Protein	Mass spectrometry	2011	-	Membrane vesicles
424	21179422	Mus musculus	Exosomes communicate protective messages during oxidative stress; possible role of exosomal shuttle RNA.	Mast cells	cl	Mast cells (MC/9)	mRNA	Microarray	2010	-	Exosomes/Nanovesicles
425	21179422	Mus musculus	Exosomes communicate protective messages during oxidative stress; possible role of exosomal shuttle RNA.	Mast cells	cl	Oxidatively stressed-Mast cells (MC/9)	mRNA	Microarray	2010	-	Exosomes/Nanovesicles
426	21386968	Acinetobacter baumannii	Acinetobacter baumannii secretes cytotoxic outer membrane protein A via outer membrane vesicles.	Acinetobacter baumannii 	ts	Normal-Acinetobacter baumannii ATCC 19606T	Protein	Mass spectrometry	2011	-	Membrane vesicles
427	21408115	Edwardsiella tarda	Outer membrane vesicles as a candidate vaccine against edwardsiellosis.	Edwardsiella tarda  	ts	Normal-Edwardsiella tarda  ED45	Protein	Mass spectrometry	2011	-	Membrane vesicles
428	21515422	Homo sapiens	Proteomic characterization of biogenesis and functions of matrix vesicles released from mineralizing human osteoblast-like cells.	Osteosarcoma cells	cl	Normal-Osteosarcoma cell (Saos-2 ATCC HTB-85)	Protein	Mass spectrometry	2011	-	Matrix vesicles
429	21595033	Homo sapiens	Proteomic analysis of urinary exosomes from patients of early IgA nephropathy and thin basement membrane nephropathy.	Urine	ts	Normal donors-Urine	Protein	Mass spectrometry	2011	-	Exosomes
430	21595033	Homo sapiens	Proteomic analysis of urinary exosomes from patients of early IgA nephropathy and thin basement membrane nephropathy.	Urine	ts	Patients of basement membrane nephropathy-Urine	Protein	Mass spectrometry	2011	-	Exosomes
431	21595033	Homo sapiens	Proteomic analysis of urinary exosomes from patients of early IgA nephropathy and thin basement membrane nephropathy.	Urine	ts	Patients of early IgA nephropathy-Urine	Protein	Mass spectrometry	2011	-	Exosomes
432	21751344	Pseudomonas aeruginosa	Proteomic analysis of outer membrane vesicles derived from Pseudomonas aeruginosa.	Pseudomonas aeruginosa 	ts	Normal-Pseudomonas aeruginosa PAO1	Protein	Mass spectrometry	2011	-	Exosomes/Membrane vesicles
433	22014850	Rattus norvegicus	Proteomics of microparticles after experimental pulmonary embolism.	Plasma	ts	Normal rat-Plasma	Protein	Mass spectrometry	2012	-	Microparticles
434	22014850	Rattus norvegicus	Proteomics of microparticles after experimental pulmonary embolism.	Plasma	ts	Rat of pulmonary embolism model-Plasma	Protein	Mass spectrometry	2012	-	Microparticles
435	22031862	Mus musculus	Mechanism of transfer of functional microRNAs between mouse dendritic cells via exosomes.	Dendritic cells	ts	Bone marrow-derived immature dendritic cells	miRNA	Microarray	2012	-	Exosomes/Nanovesicles
436	22031862	Mus musculus	Mechanism of transfer of functional microRNAs between mouse dendritic cells via exosomes.	Dendritic cells	ts	Bone marrow-derived mature dendritic cells	miRNA	Microarray	2012	-	Exosomes/Nanovesicles
437	22106071	Homo sapiens	Proteomic analysis of urine exosomes by multidimensional protein identification technology (MudPIT).	Urine	ts	Normal donors-Urine	Protein	Mass spectrometry	2012	-	Exosomes/Membrane vesicles
438	22114730	Staphylococcus aureus	Staphylococcus aureus produces membrane-derived vesicles that induce host cell death.	Staphylococcus aureus 	ts	Normal-Staphylococcus aureus 06ST1048	Protein	Mass spectrometry	2011	-	Membrane vesicles/Nanovesicles
439	22129587	Bos taurus	Bovine milk exosome proteome.	Bovine milk	ts	Normal cow-Milk	Protein	Mass spectrometry	2012	-	Exosomes/Membrane vesicles
440	22251860	Homo sapiens	RNA expression patterns in serum microvesicles from patients with glioblastoma multiforme and controls.	Serum	ts	Normal-Serum	mRNA	Microarray	2012	-	Exosomes/Microvesicles
441	22251860	Homo sapiens	RNA expression patterns in serum microvesicles from patients with glioblastoma multiforme and controls.	Serum	ts	Patients of glioblastoma -Serum	mRNA	Microarray	2012	-	Exosomes/Microvesicles
442	22288420	Paracoccidioides brasiliensis	Vesicle and vesicle-free extracellular proteome of Paracoccidioides brasiliensis: comparative analysis with other pathogenic fungi.	Paracoccidioides brasiliensis 	ts	Normal-Paracoccidioides brasiliensis Pb18	Protein	Mass spectrometry	2012	-	Extracellular vesicles
443	22329422	Homo sapiens	Quantitative proteome profiling of normal human circulating microparticles.	Plasma	ts	Normal-Platelet-poor plasma	Protein	Mass spectrometry	2012	-	Microparticles
444	22418980	Homo sapiens	A multiplex quantitative proteomics strategy for protein biomarker studies in urinary exosomes.	Urine	ts	Normal_high density-Urine	Protein	Mass spectrometry	2012	-	Exosomes
445	22418980	Homo sapiens	A multiplex quantitative proteomics strategy for protein biomarker studies in urinary exosomes.	Urine	ts	Normal_low density-Urine	Protein	Mass spectrometry	2012	-	Exosomes
446	22428779	Klebsiella pneumoniae	Klebsiella pneumoniae secretes outer membrane vesicles that induce the innate immune response.	Klebsiella pneumoniae 	ts	Normal-Klebsiella pneumoniae ATCC 13883	Protein	Mass spectrometry	2012	-	Membrane vesicles
447	22444574	Homo sapiens	Proteomic analysis of microvesicles in human saliva by gel electrophoresis with liquid chromatography-mass spectrometry.	Saliva	ts	Normal donors-Saliva	Protein	Mass spectrometry	2012	-	Exosomes/Microvesicles
448	22448133	Pseudomonas aeruginosa	Vesiculation from Pseudomonas aeruginosa under SOS.	Pseudomonas aeruginosa 	ts	Normal-Pseudomonas aeruginosa PAO1	Protein	Mass spectrometry	2012	-	Membrane vesicles
449	22448133	Pseudomonas aeruginosa	Vesiculation from Pseudomonas aeruginosa under SOS.	Pseudomonas aeruginosa 	ts	ΔlexAN-Pseudomonas aeruginosa PAO1	Protein	Mass spectrometry	2012	-	Membrane vesicles
450	22451062	Homo sapiens	A hyphenated microLC-Q-TOF-MS platform for exosomal lipidomics investigations: application to RCC urinary exosomes.	Urine	ts	Normal-Urine	Lipids	Mass spectrometry	2012	-	Exosomes
451	22451062	Homo sapiens	A hyphenated microLC-Q-TOF-MS platform for exosomal lipidomics investigations: application to RCC urinary exosomes.	Urine	ts	Patients of renal cell carcinoma-Urine	Lipids	Mass spectrometry	2012	-	Exosomes
452	22506041	Mus musculus	Cardiomyocyte microvesicles contain DNA/RNA and convey biological messages to target cells.	Cardiomyocytes	cl	Cardiomyocyte cells (HL-1)	mRNA	Microarray	2012	-	Exosomes/Membrane vesicles/Microvesicles/Prostasomes
453	22635005	Homo sapiens	Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET.	Melanoma cells	cl	B16-F10, SK-MEL-202, SK-MEL035, SK-MEL-265	Protein	Mass spectrometry	2012	-	Exosomes
454	22669077	Homo sapiens	The proteome of erythrocyte-derived microparticles from plasma: new clues for erythrocyte aging and vesiculation.	Plasma	ts	Normal-Blood	Protein	Mass spectrometry	2012	-	Microparticles
455	22682234	Homo sapiens	Microparticle conferred microRNA profiles - implications in the transfer and dominance of cancer traits.	Leukemia cells	cl	Drug-resistant acute lymphoblastic leukemia cell (CCRF-CEM MDR variant VLB100)	miRNA	Microarray	2012	-	Membrane vesicles/Microparticles
456	22682234	Homo sapiens	Microparticle conferred microRNA profiles - implications in the transfer and dominance of cancer traits.	Breast cancer cells	cl	Normal-Drug-resistant breast adenocarcinoma cells (MCF-7 MDR variant MCF-7/DX)	miRNA	Microarray	2012	-	Membrane vesicles/Microparticles
457	22723089	Homo sapiens	Exosomes as Biomarker Enriched Microvesicles: Characterization of Exosomal Proteins derived from a Panel of Prostate Cell Lines with distinct AR phenotypes.	Prostate cancer cells	cl	PC3, DU145, VcaP, LNCaP, C4-2, RWPE-1	Lipids	Mass spectrometry	2012	-	Exosomes/Membrane vesicles/Microvesicles
458	22740476	Homo sapiens	Restoration of full-length APC protein in SW480 colon cancer cells induces exosome-mediated secretion of DKK-4.	Colorectal cancer cells	cl	SW480	Protein	Mass spectrometry	2012	-	Exosomes
459	22745761	Paracoccidioides brasiliensis	Lipidomic Analysis of Extracellular Vesicles from the Pathogenic Phase of Paracoccidioides brasiliensis.	Paracoccidioides brasiliensis 	ts	Normal-Paracoccidioides brasiliensis Pb18	Lipids	Mass spectrometry	2012	-	Extracellular vesicles
460	22745761	Paracoccidioides brasiliensis	Lipidomic Analysis of Extracellular Vesicles from the Pathogenic Phase of Paracoccidioides brasiliensis.	Paracoccidioides brasiliensis 	ts	Normal-Paracoccidioides brasiliensis Pb3	Lipids	Mass spectrometry	2012	-	Extracellular vesicles
461	22848702	Homo sapiens	Medulloblastoma exosome proteomics yield functional roles for extracellular vesicles.	Medulloblastoma cells	cl	Medulloblastoma cells (D283MED)	Protein	Mass spectrometry	2012	-	Exosomes/Membrane vesicles/Extracellular vesicles
462	22849433	Homo sapiens	Selective extracellular vesicle-mediated export of an overlapping set of microRNAs from multiple cell types.	Embryonic kidney cells 	cl	miR-146a-treated-Embryonic kidney cells (HEK293T)	miRNA	Next generation sequencing	2012	-	Extracellular vesicles
463	22849433	Homo sapiens	Selective extracellular vesicle-mediated export of an overlapping set of microRNAs from multiple cell types.	Embryonic kidney cells 	cl	Embryonic kidney cells (HEK293T)	miRNA	Next generation sequencing	2012	-	Extracellular vesicles
464	22909304	Pseudomonas aeruginosa	Identification of proteins associated with the Pseudomonas aeruginosa biofilm extracellular matrix.	Pseudomonas aeruginosa 	ts	Normal_biofilm-Pseudomonas aeruginosa PAO1	Protein	Mass spectrometry	2012	-	Membrane vesicles
465	22909304	Pseudomonas aeruginosa	Identification of proteins associated with the Pseudomonas aeruginosa biofilm extracellular matrix.	Pseudomonas aeruginosa 	ts	Normal_planktonic culture-Pseudomonas aeruginosa PAO1	Protein	Mass spectrometry	2012	-	Membrane vesicles
466	22966805	Acinetobacter baumannii	Extracellular proteome of a highly invasive multidrug-resistant clinical strain of Acinetobacter baumannii.	Acinetobacter baumannii	ts	Normal-Acinetobacter baumannii AbH12O-A2	Protein	Mass spectrometry	2012	-	Membrane vesicles
467	23000592	Homo sapiens	In-depth analysis of the secretome identifies three major independent secretory pathways in differentiating human myoblasts.	Neonatal myoblast cells	ts	Patient of developmental heart defect_exosome-Neonatal myoblast cells	Protein	Mass spectrometry	2012	-	Microvesicles/Nanovesicles
468	23000592	Homo sapiens	In-depth analysis of the secretome identifies three major independent secretory pathways in differentiating human myoblasts.	Neonatal myoblast cells	ts	Patient of developmental heart defect_microparticle-Neonatal myoblast cells	Protein	Mass spectrometry	2012	-	Microvesicles/Nanovesicles
469	23029346	Echinostoma caproni	Extracellular Vesicles from Parasitic Helminths Contain Specific Excretory/Secretory Proteins and Are Internalized in Intestinal Host Cells.	Echinostoma caproni 	ts	Normal-Echinostoma caproni from ICR mice	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Microvesicles
470	23029346	Fasciola hepatica	Extracellular Vesicles from Parasitic Helminths Contain Specific Excretory/Secretory Proteins and Are Internalized in Intestinal Host Cells.	Fasciola hepatica 	ts	Normal-Fasciola hepatica from cow liver	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Microvesicles
471	23035643	Drosophila melanogaster	Drosophila S2 cells secrete Wingless on exosome-like vesicles but the Wingless gradient forms independently of exosomes.	Drosophila S2 cells	ts	Normal-Drosophila S2 tub-Wg	Protein	Mass spectrometry	2012	-	Exosomes
472	23043909	Pseudomonas syringae	Virulence factors are released in association with outer membrane vesicles of Pseudomonas syringae pv. tomato T1 during normal growth.	Pseudomonas syringae 	ts	Normal-Pseudomonas syringae pv tomato T1	Protein	Mass spectrometry	2012	-	Membrane vesicles
473	23056467	Homo sapiens	Cause or Effect of Arteriogenesis: Compositional Alterations of Microparticles from CAD Patients Undergoing External Counterpulsation Therapy.	Plasma	ts	Patients of external counterpulsation therapy-Blood	Protein	Mass spectrometry	2012	-	Microparticles
474	23056502	Homo sapiens	Identifying mRNA, MicroRNA and Protein Profiles of Melanoma Exosomes.	Melanoma cells 	cl	Epidermal melanocytes (HEMa-LP)	miRNA	Microarray	2012	-	Exosomes
475	23056502	Homo sapiens	Identifying mRNA, MicroRNA and Protein Profiles of Melanoma Exosomes.	Melanoma cells 	cl	Epidermal melanocytes (HEMa-LP)	mRNA	Microarray	2012	-	Exosomes
476	23056502	Homo sapiens	Identifying mRNA, MicroRNA and Protein Profiles of Melanoma Exosomes.	Melanoma cells 	cl	A375	miRNA	Microarray	2012	-	Exosomes
477	23056502	Homo sapiens	Identifying mRNA, MicroRNA and Protein Profiles of Melanoma Exosomes.	Melanoma cells 	cl	A375	mRNA	Microarray	2012	-	Exosomes
478	23082778	Homo sapiens	Comparative and Targeted Proteomic Analyses of Urinary Microparticles from Bladder Cancer and Hernia Patients.	Urine	ts	Patients of bladder cancer-Urine	Protein	Mass spectrometry	2012	-	Exosomes/Membrane vesicles
479	23082778	Homo sapiens	Comparative and Targeted Proteomic Analyses of Urinary Microparticles from Bladder Cancer and Hernia Patients.	Urine	ts	Patients of hernia-Urine	Protein	Mass spectrometry	2012	-	Exosomes/Membrane vesicles
480	23161513	Homo sapiens	Proteomic analysis of exosomes from mutant KRAS colon cancer cells identifies intercellular transfer of mutant KRAS.	Colorectal cancer cells	cl	DKO-1	Protein	Mass spectrometry	2012	-	Exosomes
481	23161513	Homo sapiens	Proteomic analysis of exosomes from mutant KRAS colon cancer cells identifies intercellular transfer of mutant KRAS.	Colorectal cancer cells	cl	Dks-8	Protein	Mass spectrometry	2012	-	Exosomes
482	23161513	Homo sapiens	Proteomic analysis of exosomes from mutant KRAS colon cancer cells identifies intercellular transfer of mutant KRAS.	Colorectal cancer cells	cl	DLD-1	Protein	Mass spectrometry	2012	-	Exosomes
483	23214914	Trypanosoma cruzi	Proteomic analysis of Trypanosoma cruzi secretome: characterization of two populations of extracellular vesicles and soluble proteins.	Epimastigotes	ts	Normal_larger vesicles-Epimastigotes	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Ectosomes
484	23214914	Trypanosoma cruzi	Proteomic analysis of Trypanosoma cruzi secretome: characterization of two populations of extracellular vesicles and soluble proteins.	Epimastigotes	ts	Normal_smaller vesicles-Epimastigotes	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Ectosomes
485	23214914	Trypanosoma cruzi	Proteomic analysis of Trypanosoma cruzi secretome: characterization of two populations of extracellular vesicles and soluble proteins.	Metacyclic trypomastigotes	ts	Normal_larger vesicles-Metacyclic trypomastigotes	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Ectosomes
486	23230278	Homo sapiens	Two distinct populations of exosomes are released from LIM1863 colon carcinoma cell-derived organoids.	Colorectal cancer cells	cl	A33 affinity purified exosomes-Colorectal cancer cells (LIM1863)	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Microvesicles
487	23230278	Homo sapiens	Two distinct populations of exosomes are released from LIM1863 colon carcinoma cell-derived organoids.	Colorectal cancer cells	cl	EpCAM affinity purified exosomes-Colorectal cancer cells (LIM1863)	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Microvesicles
488	23230278	Homo sapiens	Two distinct populations of exosomes are released from LIM1863 colon carcinoma cell-derived organoids.	Colorectal cancer cells	cl	Shed vesicles-Colorectal cancer cells (LIM1863)	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Microvesicles
