EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD
113	21557262	Homo sapiens	Proteomic identification of exosomal LRG1: A potential urinary biomarker for detecting NSCLC.	Urine	ts	Urine - Normal	Protein	Mass spectrometry|Western blotting	2011	Differential centrifugation|Ultracentrifugation
114	21557262	Homo sapiens	Proteomic identification of exosomal LRG1: A potential urinary biomarker for detecting NSCLC.	Urine	ts	Urine - Lung cancer	Protein	Mass spectrometry|Western blotting	2011	Differential centrifugation|Ultracentrifugation
115	21505438	Homo sapiens	Unidirectional transfer of microRNA-loaded exosomes from T cells to antigen-presenting cells.	T cells	cl	J77	Protein|miRNA	Mass spectrometry|Microarray	2011	Differential centrifugation|Filtration|Ultracentrifugation
116	21505438	Homo sapiens	Unidirectional transfer of microRNA-loaded exosomes from T cells to antigen-presenting cells.	B cells	cl	Raji	Protein|miRNA	Mass spectrometry|Microarray	2011	Differential centrifugation|Filtration|Ultracentrifugation
117	21505438	Homo sapiens	Unidirectional transfer of microRNA-loaded exosomes from T cells to antigen-presenting cells.	Dendritic cells	ts	Dendritic cells	Protein|miRNA	Mass spectrometry|Microarray	2011	Differential centrifugation|Filtration|Ultracentrifugation
118	21362503	Homo sapiens	Protein profile of exosomes from trabecular meshwork cells.	Tabecular meshwork cells	ts	Tabecular meshwork cells	Protein	Mass spectrometry [LTQ]|Western blotting	2011	Differential centrifugation|Sucrose density gradient
119	21362503	Homo sapiens	Protein profile of exosomes from trabecular meshwork cells.	Urine	ts	Urine - Normal	Protein	Mass spectrometry [LTQ]|Western blotting	2011	Differential centrifugation|Sucrose density gradient
120	21362503	Homo sapiens	Protein profile of exosomes from trabecular meshwork cells.	Aqueous humor	ts	Aqueous humor - Normal	Protein	Western blotting	2011	Differential centrifugation|Sucrose density gradient
121	21276792	Homo sapiens	Morphologic and proteomic characterization of exosomes released by cultured extravillous trophoblast cells.	Trophoblast cells	cl	Sw71	Protein	Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultrafiltration|Ultracentrifugation|Sucrose density gradient
122	21235781	Homo sapiens	Human saliva, plasma and breast milk exosomes contain RNA: uptake by macrophages.	Saliva	ts	Saliva - Normal	Protein	FACS|Immunoelectron Microscopy|Western blotting	2011	Differential centrifugation|Filtration|Ultracentrifugation
123	21235781	Homo sapiens	Human saliva, plasma and breast milk exosomes contain RNA: uptake by macrophages.	Plasma	ts	Plasma - Normal	Protein	FACS|Immunoelectron Microscopy|Western blotting	2011	Differential centrifugation|Filtration|Ultracentrifugation
124	21235781	Homo sapiens	Human saliva, plasma and breast milk exosomes contain RNA: uptake by macrophages.	Breast milk	ts	Breast milk - Normal	Protein	FACS|Immunoelectron Microscopy|Western blotting	2011	Differential centrifugation|Filtration|Ultracentrifugation
125	21059916	Homo sapiens	Human tumor virus utilizes exosomes for intercellular communication.	Nasopharyngeal carcinoma cells	cl	C666	Protein	Western blotting	2010	Differential centrifugation
126	0	Homo sapiens	Mesenchymal Stem Cell Exosomes: The Future MSC-based Therapy?	Mesenchymal stem cells	cl	huES9.E1	Protein	Western blotting|Antobody array|Mass spectrometry	2011	HPLC
127	21828046	Rattus norvegicus	Proteolipidic Composition of Exosomes Changes during Reticulocyte Maturation	Reticulocytes	ts	Reticulocytes	Protein|Lipids	Gas-liquid chromatography|High performance thin layer chromatography	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
128	14965343	Homo sapiens	Mast cell- and dendritic cell-derived exosomes display a specific lipid composition and an unusual membrane organization	Dendritic cells	ts	Bone marrow - Dendritic cells	Lipids	HPLC|Gas chromatography	2004	Differential centrifugation|Ultracentrifugation
129	14965343	Rattus norvegicus	Mast cell- and dendritic cell-derived exosomes display a specific lipid composition and an unusual membrane organization	Tumoral mast cells	cl	RBL-2H3	Lipids	HPLC|Gas chromatography	2004	Differential centrifugation|Ultracentrifugation
130	18309083	Mus musculus	Ceramide triggers budding of exosome vesicles into multivesicular endosomes	Oligodendrocytes	cl	Oli-neu cells	Protein|Lipids	Western blotting|Mass spectrometry [QTOF]	2008	Differential centrifugation|Sucrose density gradient
131	19188015	Homo sapiens	Systemic presence and tumor-growth promoting effect of ovarian carcinoma released exosomes	Malignant ascites	ts	Malignant ascites - Ovarian cancer	Protein|Lipids	Cytofluorographic analysis|Annexin-V-FITC|Western blotting|FACS	2009	Differential centrifugation|Sucrose density gradient
132	19188015	Homo sapiens	Systemic presence and tumor-growth promoting effect of ovarian carcinoma released exosomes	Ovarian cancer cells	cl	OVMz	Protein|Lipids	Cytofluorographic analysis|Annexin-V-FITC|FACS	2009	Differential centrifugation|Sucrose density gradient
133	19188015	Homo sapiens	Systemic presence and tumor-growth promoting effect of ovarian carcinoma released exosomes	Ovarian cancer cells	cl	SKOV3ip	Protein|Lipids	Cytofluorographic analysis|Annexin-V-FITC|FACS	2009	Differential centrifugation|Sucrose density gradient
134	15304316	Rattus norvegicus	PLD2 is enriched on exosomes and its activity is correlated to the release of exosomes	Basophilic leukemia cells	cl	RBL-2H3	Protein|Lipids	Western blotting|FACS	2004	Differential centrifugation
135	2777884	Cavia porcellus	Asymmetric Distribution of Phospholipids in the Membrane of Vesicles Released During In Vitro Maturation of Guinea Pig Reticulocytes: Evidence Precluding a Role for "Aminophospholipid Translocase	Reticulocytes	ts	Reticulocytes - Normal	Proteins|Lipids	Immunoelectron microscopy|Thin layer chromatography|Western blotting	1989	Differential centrifugation|Ultracentrifugation
136	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	PC3 - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
137	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	PC3 - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
138	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	DU145 - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
139	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	DU145 - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
140	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	VCaP - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
141	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	VCaP - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
142	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	LNCaP - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
143	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	LNCaP - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
144	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	C4-2 - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
145	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	C4-2 - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
146	22723089	Homo sapiens	Prostate cancer cell derived exosomes	Prostate cancer cells	cl	RWPE - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient
147	22116803	Equus caballus	Cell-Secreted Vesicles in Equine Ovarian Follicular Fluid Contain miRNAs and Proteins: A Possible New Form of Cell Communication Within the Ovarian Follicle	Follicular fluid	ts	Follicular fluid - Ovarian - Young mare	Protein|miRNA	Western blotting|RT-PCR|Mass spectrometry [LTQ]	2011	Differential centrifugation|Exoquick
148	22116803	Equus caballus	Cell-Secreted Vesicles in Equine Ovarian Follicular Fluid Contain miRNAs and Proteins: A Possible New Form of Cell Communication Within the Ovarian Follicle	Serum	ts	Serum - Normal	Protein	FACS	2011	Differential centrifugation|Exoquick
149	21741384	Homo sapiens	A filtration-based protocol to isolate human plasma membrane-derived vesicles and exosomes from blood plasma	Plasma	ts	Plasma - Normal	Protein	FACS|ELISA	2011	Differential centrifugation|Filtration
150	22116803	Equus caballus	Cell-Secreted Vesicles in Equine Ovarian Follicular Fluid Contain miRNAs and Proteins: A Possible New Form of Cell Communication Within the Ovarian Follicle	Follicular fluid	ts	Follicular fluid - Ovarian - Old mare	miRNA	RT-PCR	2011	Differential centrifugation|Exoquick
151	21609964	Homo sapiens	Characterization of extracellular circulating microRNA	Plasma	ts	Plasma - Normal	Protein	Western blotting	2011	Differential centrifugation|Filtration
152	21364924	Homo sapiens	Thermal- and oxidative stress causes enhanced release of NKG2D ligand-bearing immunosuppressive exosomes in leukemia/lymphoma T and B cells	T cells	cl	Jurkat	Protein	Western blotting|Immunoelectron microscopy|FACS	2011	Differential centrifugation|Ultracentrifugation|Filtration|Sucrose density gradient|FACS
153	21364924	Homo sapiens	Thermal- and oxidative stress causes enhanced release of NKG2D ligand-bearing immunosuppressive exosomes in leukemia/lymphoma T and B cells	B cells	cl	Raji	Protein	Western blotting|Immunoelectron microscopy|FACS	2011	Differential centrifugation|Ultracentrifugation|Filtration|Sucrose density gradient|FACS
154	21293856	Homo sapiens	Tumour exosomes inhibit binding of tumour-reactive antibodies to tumour cells and reduce ADCC	Breast cancer cells	cl	BT474	Protein	Western blotting|Immunoelectron microscopy|FACS|Dot blot	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation|Sucrose density gradient
155	21293856	Homo sapiens	Tumour exosomes inhibit binding of tumour-reactive antibodies to tumour cells and reduce ADCC	Serum	ts	Serum - Breast cancer	Protein	ELISA|Dot blot	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation|Sucrose density gradient
156	21293856	Homo sapiens	Tumour exosomes inhibit binding of tumour-reactive antibodies to tumour cells and reduce ADCC	Melanoma cells	cl	Mel624.38	Protein	Dot blot	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation|Sucrose density gradient
157	21293856	Homo sapiens	Tumour exosomes inhibit binding of tumour-reactive antibodies to tumour cells and reduce ADCC	Ascites	ts	Malignant ascites - Ovarian cancer	Protein	Dot blot	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation|Sucrose density gradient
158	10903724	Homo sapiens	Follicular dendritic cells carry MHC class II-expressing microvesicles at their surface	B cells	cl	RN	Protein	Immunoelectron microscopy	2000	Differential centrifugation
159	22030351	Homo sapiens	Expression of PTRF in PC-3 cells modulates cholesterol dynamics and the actin cytoskeleton impacting secretion pathways	Prostate cancer cells	cl	PC-3	Protein	Mass spectrometry [QTOF]	2011	Differential centrifugation
160	15499615	Homo sapiens	Microvesicles derived from activated platelets induce metastasis and angiogenesis in lung cancer	Lung cancer cells	cl	A549	mRNA	RT-PCR	2005	Differential centrifugation|Ultracentrifugation
161	20304794	Homo sapiens	Functional delivery of viral miRNAs via exosomes	B cells	ts	B cells - Transformed with EpsteinÂ_x0096_Barr virus	Protein	Western blotting	2010	Differential centrifugation
162	19289371	Homo sapiens	Exosomal microRNA: a diagnostic marker for lung cancer	Plasma	ts	Plasma - Lung adenocarcinoma patients	miRNA	Microarray	2009	Size exclusion chromatography|Immunobeads (EpCAM)
163	20428099	Homo sapiens	Nucleic acids within urinary exosomes/microvesicles are potential biomarkers for renal disease	Urine	ts	Urine - Normal	mRNA	RT-PCR	2010	Differential centrifugation|Ultracentrifugation
164	20304794	Homo sapiens	Functional delivery of viral miRNAs via exosomes	B cells	cl	B95-8	miRNA	RT-PCR	2010	Differential centrifugation
165	20304794	Homo sapiens	Functional delivery of viral miRNAs via exosomes	B cells	cl	X50-7	miRNA	RT-PCR	2010	Differential centrifugation
166	19627513	Homo sapiens	Exosomes from human saliva as a source of microRNA biomarkers	Saliva	ts	Saliva - Normal	Protein|miRNA	Western blotting|RT-PCR	2010	Differential centrifugation|Ultracentrifugation
167	19627513	Homo sapiens	Exosomes from human saliva as a source of microRNA biomarkers	Saliva	ts	Saliva - Sjögren’s syndrome patients	miRNA	Microarray	2010	Differential centrifugation|Ultracentrifugation
168	20976003	Homo sapiens	Selective release of microRNA species from normal and malignant mammary epithelial cells	Breast cancer cells	cl	MCF-7	Protein|miRNA	Slot blot|RT-PCR|Microarray	2010	Differential centrifugation|Filtration
169	20976003	Homo sapiens	Selective release of microRNA species from normal and malignant mammary epithelial cells	Breast cancer cells	cl	MDA-MB-231	Protein|miRNA	Slot blot|RT-PCR	2010	Differential centrifugation|Filtration
170	20976003	Homo sapiens	Selective release of microRNA species from normal and malignant mammary epithelial cells	Breast cancer cells	cl	BT-20	Protein|miRNA	Slot blot|RT-PCR	2010	Differential centrifugation|Filtration
171	20976003	Homo sapiens	Selective release of microRNA species from normal and malignant mammary epithelial cells	Breast cancer cells	cl	MCF 10A	Protein|miRNA	Slot blot|RT-PCR	2010	Differential centrifugation|Filtration
172	20976003	Homo sapiens	Selective release of microRNA species from normal and malignant mammary epithelial cells	Breast cancer cells	cl	SK-BR-3	miRNA	RT-PCR	2010	Differential centrifugation|Filtration
173	20615901	Homo sapiens	Export of microRNAs and microRNA-protective protein by mammalian cells	Lung cancer cells	cl	HepG2	miRNA	RT-PCR	2010	Differential centrifugation
174	20615901	Homo sapiens	Export of microRNAs and microRNA-protective protein by mammalian cells	Epithelial cells	cl	A549	miRNA	RT-PCR	2010	Differential centrifugation
175	22965126	Mus musculus	Small RNA deep sequencing reveals a distinct miRNA signature released in exosomes from prion-infected neuronal cells.	Neuronal cells	cl	GT1-7 - Unifected Rep 1	miRNA	RT-PCR|Western blotting	2012	Differential centrifugation|Filtration|Ultracentrifugation
176	22965126	Mus musculus	Small RNA deep sequencing reveals a distinct miRNA signature released in exosomes from prion-infected neuronal cells.	Neuronal cells	cl	GT1-7 - Unifected Rep 2	miRNA	RT-PCR	2012	Differential centrifugation|Filtration|Ultracentrifugation
177	22965126	Mus musculus	Small RNA deep sequencing reveals a distinct miRNA signature released in exosomes from prion-infected neuronal cells.	Neuronal cells	cl	GT1-7 - Prion infected Rep 1	miRNA	RT-PCR|Western blotting	2012	Differential centrifugation|Filtration|Ultracentrifugation
178	22965126	Mus musculus	Small RNA deep sequencing reveals a distinct miRNA signature released in exosomes from prion-infected neuronal cells.	Neuronal cells	cl	GT1-7 - Prion infected Rep 2	miRNA	RT-PCR	2012	Differential centrifugation|Filtration|Ultracentrifugation
179	22965126	Mus musculus	Small RNA deep sequencing reveals a distinct miRNA signature released in exosomes from prion-infected neuronal cells.	Neuronal cells	cl	GT1-7 - Prion infected and uninfected	Protein|miRNA	RNA deep sequencing	2012	Differential centrifugation|Filtration|Ultracentrifugation
180	22285593	Homo sapiens	Comparison of ultracentrifugation, density gradient separation, and immunoaffinity capture methods for isolating human colon cancer cell line LIM1863-derived exosomes.	Colorectal cancer cells	cl	LIM1863 - Ultracentrifugation	Protein	Mass spectrometry [Orbitrap]|Western blotting	2012	Differential centrifugation|Filtration|Ultracentrifugation
181	22285593	Homo sapiens	Comparison of ultracentrifugation, density gradient separation, and immunoaffinity capture methods for isolating human colon cancer cell line LIM1863-derived exosomes.	Colorectal cancer cells	cl	LIM1863 - EpCAM immunoaffinity	Protein	Mass spectrometry [Orbitrap]|Western blotting	2012	Differential centrifugation|Filtration|Immunobeads (EpCAM)|Ultracentrifugation
182	22285593	Homo sapiens	Comparison of ultracentrifugation, density gradient separation, and immunoaffinity capture methods for isolating human colon cancer cell line LIM1863-derived exosomes.	Colorectal cancer cells	cl	LIM1863 - OptiPrep density gradient	Protein	Mass spectrometry [Orbitrap]|Western blotting	2012	Differential centrifugation|Filtration|Ultracentrifugation|Optiprep density gradient
183	24115447	Homo sapiens	Comparative proteomics evaluation of plasma exosome isolation techniques and assessment of the stability of exosomes in normal human blood plasma	Plasma	ts	Plasma - Normal	Protein	Mass spectrometry [Orbitrap Velos]|Western blotting	2013	Differential centrifugation|Filtration|Ultracentrifugation
184	24115447	Homo sapiens	Comparative proteomics evaluation of plasma exosome isolation techniques and assessment of the stability of exosomes in normal human blood plasma	Plasma	ts	Plasma - Normal	Protein	Mass spectrometry [Orbitrap Velos]|Western blotting	2013	Differential centrifugation|Filtration|Ultracentrifugation|Optiprep density gradient
185	24115447	Homo sapiens	Comparative proteomics evaluation of plasma exosome isolation techniques and assessment of the stability of exosomes in normal human blood plasma	Plasma	ts	Plasma - Normal	Protein	Mass spectrometry [Orbitrap Velos]|Western blotting	2013	Differential centrifugation|Filtration|Ultracentrifugation|Immunobeads (EpCAM)
186	24352158	Homo sapiens	Characterization and deep sequencing analysis of exosomal miRNA in human urine	Urine	ts	Urine - Normal	miRNA	RNA deep sequencing	0	Differential centrifugation|Norgen Biotek Exosome kit
187	19327352	Bos taurus	Anchorage-independent growth of breast carcinoma cells is mediated by serum exosomes.	Serum	ts	Normal-Fetal bovine serum	Protein	Mass spectrometry	2009	centrifugation|Sucrose density gradient
188	19351151	Mus musculus	Characterization of vesicles secreted from insulinoma NIT-1 cells.	Pancreatic cells	0	Pancreatic beta cell (NIT-1)	Protein	Mass spectrometry	2009	Differential centrifugation|Sucrose density gradient
189	19530224	Homo sapiens	Profile of exosomes related proteins released by differentiated and undifferentiated human keratinocytes.	Keratinocytes	0	Differentiated-Keratinocytes	Protein	Mass spectrometry	2009	Differential centrifugation|Filtration|Sucrose cushion|Filtration
190	19530224	Homo sapiens	Profile of exosomes related proteins released by differentiated and undifferentiated human keratinocytes.	Keratinocytes	0	Undifferentiated-Keratinocytes	Protein	Mass spectrometry	2009	Differential centrifugation|Filtration|Sucrose cushion|Filtration
191	20124223	Homo sapiens	Hypoxic tumor cell modulates its microenvironment to enhance angiogenic and metastatic potential by secretion of proteins and exosomes.	Squamous carcinoma cells	0	Squamous carcinoma cell (A431)	Protein	Mass spectrometry	2010	Differential centrifugation
192	20535238	Rattus norvegicus	Candidate biomarkers in exosome-like vesicles purified from rat and mouse urine samples.	Urine	ts	Rats of liver injury-Urine	Protein	Mass spectrometry	2010	Differential centrifugation|Filtration|UltracentrifugationSucrose cushion|Sucrose density gradient
193	21595033	Homo sapiens	Proteomic analysis of urinary exosomes from patients of early IgA nephropathy and thin basement membrane nephropathy.	Urine	ts	Normal donors-Urine	Protein	Mass spectrometry	2011	Differential centrifugation|Ultracentrifugation|Sucrose cushion|Sucrose density gradient
194	21595033	Homo sapiens	Proteomic analysis of urinary exosomes from patients of early IgA nephropathy and thin basement membrane nephropathy.	Urine	ts	Patients of basement membrane nephropathy-Urine	Protein	Mass spectrometry	2011	Differential centrifugation|Ultracentrifugation|Sucrose cushion|Sucrose density gradient
195	21595033	Homo sapiens	Proteomic analysis of urinary exosomes from patients of early IgA nephropathy and thin basement membrane nephropathy.	Urine	ts	Patients of early IgA nephropathy-Urine	Protein	Mass spectrometry	2011	Differential centrifugation|Ultracentrifugation|Sucrose cushion|Sucrose density gradient
196	22418980	Homo sapiens	A multiplex quantitative proteomics strategy for protein biomarker studies in urinary exosomes.	Urine	ts	Normal_high density-Urine	Protein	Mass spectrometry	2012	Differential centrifugation|Sucrose cushion
197	22418980	Homo sapiens	A multiplex quantitative proteomics strategy for protein biomarker studies in urinary exosomes.	Urine	ts	Normal_low density-Urine	Protein	Mass spectrometry	2012	Differential centrifugation|Sucrose cushion
198	22451062	Homo sapiens	A hyphenated microLC-Q-TOF-MS platform for exosomal lipidomics investigations: application to RCC urinary exosomes.	Urine	ts	Normal-Urine	Lipids	Mass spectrometry	2012	Differential centrifugation|Ultracentrifugation|Ultrafiltration
199	22451062	Homo sapiens	A hyphenated microLC-Q-TOF-MS platform for exosomal lipidomics investigations: application to RCC urinary exosomes.	Urine	ts	Patients of renal cell carcinoma-Urine	Lipids	Mass spectrometry	2012	Differential centrifugation|Ultracentrifugation|Ultrafiltration
200	22635005	Homo sapiens	Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET.	Melanoma cells	cl	B16-F10, SK-MEL-202, SK-MEL035, SK-MEL-265	Protein	Mass spectrometry	2012	Differential centrifugation|Filtration|Sucrose cushion
201	22740476	Homo sapiens	Restoration of full-length APC protein in SW480 colon cancer cells induces exosome-mediated secretion of DKK-4.	Colorectal cancer cells	cl	SW480	Protein	Mass spectrometry	2012	Differential centrifugation|Filtration|Ultracentrifugation
202	23035643	Drosophila melanogaster	Drosophila S2 cells secrete Wingless on exosome-like vesicles but the Wingless gradient forms independently of exosomes.	Drosophila S2 cells	0	Normal-Drosophila S2 tub-Wg	Protein	Mass spectrometry	2012	Filtration|Ultracentrifugation|Sucrose density gradient
203	23056502	Homo sapiens	Identifying mRNA, MicroRNA and Protein Profiles of Melanoma Exosomes.	Melanoma cells	0	Epidermal melanocytes (HEMa-LP)	miRNA	Microarray	2012	Ultrafiltration|Ultracentrifugation
204	23056502	Homo sapiens	Identifying mRNA, MicroRNA and Protein Profiles of Melanoma Exosomes.	Melanoma cells	0	Epidermal melanocytes (HEMa-LP)	mRNA	Microarray	2012	Ultrafiltration|Ultracentrifugation
205	23056502	Homo sapiens	Identifying mRNA, MicroRNA and Protein Profiles of Melanoma Exosomes.	Melanoma cells	cl	A375	miRNA	Microarray	2012	Ultrafiltration|Ultracentrifugation
206	23056502	Homo sapiens	Identifying mRNA, MicroRNA and Protein Profiles of Melanoma Exosomes.	Melanoma cells	cl	A375	mRNA	Microarray	2012	Ultrafiltration|Ultracentrifugation
207	23161513	Homo sapiens	Proteomic analysis of exosomes from mutant KRAS colon cancer cells identifies intercellular transfer of mutant KRAS.	Colorectal cancer cells	cl	DKO-1	Protein	Mass spectrometry	2012	Differential centrifugation|Filtration
208	23161513	Homo sapiens	Proteomic analysis of exosomes from mutant KRAS colon cancer cells identifies intercellular transfer of mutant KRAS.	Colorectal cancer cells	cl	Dks-8	Protein	Mass spectrometry	2012	Differential centrifugation|Filtration
209	23161513	Homo sapiens	Proteomic analysis of exosomes from mutant KRAS colon cancer cells identifies intercellular transfer of mutant KRAS.	Colorectal cancer cells	cl	DLD-1	Protein	Mass spectrometry	2012	Differential centrifugation|Filtration
210	23260141	Mus musculus	Exosomes Mediate Stromal Mobilization of Autocrine Wnt-PCP Signaling in Breast Cancer Cell Migration.	Fibroblasts	cl	Normal-Fibroblasts (L cells)	Protein	Mass spectrometry	2012	Differential centrifugation|Ultracentrifugation
211	23333927	Homo sapiens	Characterization and proteomic analysis of ovarian cancer-derived exosomes.	Ovarian cancer cells	cl	IGROV1	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density Cushion
212	23333927	Homo sapiens	Characterization and proteomic analysis of ovarian cancer-derived exosomes.	Ovarian cancer cells	cl	OVCAR-3	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density Cushion
213	23459212	Bos taurus	Bovine milk proteome: Quantitative changes in normal milk exosomes, milk fat globule membranes and whey proteomes resulting from Staphylococcus aureus mastitis.	Milk	ts	Staphylococcus aureus-infected-Milk	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Filtration|Sucrose density gradient|FACS
214	23658846	Mus musculus	Immunomodulatory impact of leishmania-induced macrophage exosomes: a comparative proteomic and functional analysis.	Macrophages	cl	Leishmania-infected-Macrophage (J774A.1)	Protein	Mass spectrometry	2013	Differential centrifugation|Filtration|Ultracentrifugation|Filtration|Protease inhibitors|Sucrose density gradient|Filtration|Ultracentrifugation
215	23658846	Mus musculus	Immunomodulatory impact of leishmania-induced macrophage exosomes: a comparative proteomic and functional analysis.	Macrophages	cl	LPS-treated-Macrophage (J774A.1)	Protein	Mass spectrometry	2013	Differential centrifugation|Filtration|Ultracentrifugation|Filtration|Protease inhibitors|Sucrose density gradient|Filtration|Ultracentrifugation
216	23658846	Mus musculus	Immunomodulatory impact of leishmania-induced macrophage exosomes: a comparative proteomic and functional analysis.	Macrophages	cl	Normal-Macrophage (J774A.1)	Protein	Mass spectrometry	2013	Differential centrifugation|Filtration|Ultracentrifugation|Filtration|Protease inhibitors|Sucrose density gradient|Filtration|Ultracentrifugation
217	23844026	Homo sapiens	Characterization of human thymic exosomes.	Thymus	ts	Normal-Thymus	Protein	Mass spectrometry	2013	Differential centrifugation|Filtration|Ultracentrifugation
218	0	Homo sapiens	Characterization of colorectal cancer cell exosomal microRNA content in vitro	Colorectal cancer cells	cl	HCT116|HT29	miRNA	miRCURY LNA microRNA Array 7th Gen	0	Differential centrifugation|Filtration|Ultracentrifugation
219	25857718	Homo sapiens	Proteomic analysis of exosomes from nasopharyngeal carcinoma cell identifies intercellular transfer of angiogenic proteins	Nasopharyngeal carcinoma cells	cl	C666-1	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Sucrose density gradient
220	25857718	Homo sapiens	Proteomic analysis of exosomes from nasopharyngeal carcinoma cell identifies intercellular transfer of angiogenic proteins	Nasopharyngeal carcinoma cells	cl	NP69	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Sucrose density gradient
221	25857718	Homo sapiens	Proteomic analysis of exosomes from nasopharyngeal carcinoma cell identifies intercellular transfer of angiogenic proteins	Nasopharyngeal carcinoma cells	cl	NP460	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Sucrose density gradient
222	23663360	Homo sapiens	Characterization of human plasma-derived exosomal RNAs by deep sequencing	Plasma	ts	Plasma - Normal	miRNA|tRNA|snRNA|snoRNA|rRNA|piRNA|lncRNA	RT-PCR	2013	Exoquick
223	25330373	Homo sapiens	Deep sequencing of RNA from three different extracellular vesicle (EV) subtypes released from the human LIM1863 colon cancer cell line uncovers distinct miRNA-enrichment signatures	Colon carcinoma cells	cl	LIM1863	miRNA|Protein	RT-PCR|Western blotting	2014	Differential centrifugation|Ultracentrifugation|Immunobeads (EpCAM)|Immunobeads (A33)
224	25944692	Homo sapiens	Proteogenomic analysis reveals exosomes are more oncogenic than ectosomes	Neuroblastoma cells	cl	SH-SY5Y	Protein	Mass spectrometry|Western blotting	2015	Differential centrifugation|Ultracentrifugation|OptiPrep density gradient
225	25998041	Rattus norvegicus	Proteomic Analysis of Extracellular Vesicles Released by Adipocytes of Otsuka Long-Evans Tokushima Fatty (OLETF) Rats.	Adipocytes	cl	Adipocytes	Protein	Mass spectrometry|Western blotting	2015	Differential centrifugation|Filtration|Ultracentrifugation
226	26027894	Homo sapiens	Quantitative and qualitative analysis of small RNAs in human endothelial cells and exosomes provides insights into localized RNA processing, degradation and sorting	Endothelial cells	cl	HMEC-1	miRNA|Protein|snoRNA|lncRNA|yRNA|snRNA|mRNA|ncRNA|mtRNA|vtRNA|scaRNA|lincRNA	Small RNA sequencing (Illumina HiSeq 2000 (Solexa)|Western blotting	2015	Differential ultracentrifugation|Sucrose density gradient
227	25833198	Homo sapiens	Guggulsterone and bexarotene induce secretion of exosome-associated breast cancer resistance protein and reduce doxorubicin resistance in MDA-MB-231 cells	Breast cancer cells	cl	MDA-MB-231	Protein	Western Blotting	2015	Differential ultracentrifugation|Sucrose density gradient
228	25814440	Homo sapiens	An optimized procedure for exosome isolation and analysis using serum samples: Application to cancer biomarker discovery	Serum	ts	Serum - metastatic prostate cancer	miRNA	RT-PCR	2015	Total exosome isolation reagent
229	25814440	Homo sapiens	An optimized procedure for exosome isolation and analysis using serum samples: Application to cancer biomarker discovery	Serum	ts	Serum - prostate cancer (prostatectomy)	miRNA	RT-PCR	2015	Total exosome isolation reagent
230	25814440	Homo sapiens	An optimized procedure for exosome isolation and analysis using serum samples: Application to cancer biomarker discovery	Serum	ts	Serum - Normal	miRNA	RT-PCR	2015	Total exosome isolation reagent
