id,A_exposed,C_exposed,D_exposed,E_exposed,F_exposed,G_exposed,H_exposed,I_exposed,K_exposed,L_exposed,M_exposed,N_exposed,P_exposed,Q_exposed,R_exposed,S_exposed,T_exposed,V_exposed,W_exposed,Y_exposed
P08603,11.0,2.0,45.0,79.0,1.0,43.0,16.0,3.0,71.0,9.0,5.0,54.0,36.0,31.0,41.0,54.0,31.0,6.0,1.0,6.0
P08620,21.0,0.0,5.0,7.0,1.0,10.0,1.0,1.0,8.0,9.0,1.0,6.0,12.0,2.0,10.0,4.0,4.0,4.0,1.0,2.0
P08621,12.0,0.0,38.0,50.0,1.0,40.0,11.0,1.0,20.0,10.0,7.0,8.0,26.0,6.0,87.0,21.0,8.0,2.0,0.0,6.0
P08631,7.0,3.0,18.0,32.0,3.0,19.0,5.0,2.0,27.0,1.0,4.0,15.0,20.0,12.0,17.0,22.0,13.0,3.0,0.0,3.0
P08637,6.0,0.0,13.0,8.0,3.0,7.0,2.0,0.0,16.0,10.0,2.0,8.0,9.0,9.0,7.0,14.0,11.0,4.0,3.0,3.0
P08648,14.0,0.0,25.0,45.0,0.0,33.0,13.0,2.0,27.0,20.0,2.0,17.0,39.0,33.0,26.0,39.0,20.0,4.0,2.0,4.0
P08651,23.0,3.0,24.0,22.0,3.0,29.0,12.0,5.0,23.0,21.0,7.0,7.0,47.0,20.0,21.0,52.0,29.0,6.0,2.0,8.0
P08670,19.0,1.0,27.0,46.0,4.0,13.0,4.0,6.0,17.0,20.0,4.0,18.0,9.0,31.0,38.0,41.0,23.0,15.0,0.0,5.0
P08684,7.0,0.0,14.0,24.0,3.0,6.0,3.0,1.0,30.0,11.0,2.0,11.0,14.0,7.0,10.0,9.0,9.0,4.0,1.0,1.0
P08686,9.0,0.0,10.0,18.0,1.0,16.0,6.0,0.0,15.0,15.0,2.0,6.0,17.0,16.0,13.0,11.0,3.0,1.0,3.0,0.0
P08697,8.0,2.0,17.0,26.0,5.0,19.0,5.0,0.0,17.0,17.0,4.0,11.0,25.0,28.0,11.0,27.0,11.0,7.0,2.0,2.0
P08700,6.0,0.0,5.0,6.0,2.0,3.0,2.0,1.0,6.0,3.0,2.0,10.0,9.0,8.0,7.0,5.0,9.0,2.0,0.0,0.0
P08708,1.0,0.0,5.0,10.0,1.0,6.0,2.0,3.0,10.0,2.0,2.0,5.0,7.0,4.0,12.0,3.0,6.0,6.0,0.0,1.0
P08709,14.0,2.0,15.0,24.0,0.0,24.0,7.0,0.0,18.0,9.0,2.0,9.0,14.0,14.0,19.0,17.0,9.0,6.0,1.0,0.0
P08727,27.0,0.0,23.0,28.0,4.0,32.0,4.0,3.0,11.0,13.0,5.0,8.0,5.0,21.0,26.0,37.0,16.0,13.0,0.0,6.0
P08729,40.0,1.0,24.0,39.0,6.0,32.0,3.0,7.0,20.0,16.0,6.0,15.0,7.0,22.0,30.0,43.0,17.0,14.0,0.0,3.0
P08754,8.0,2.0,15.0,25.0,0.0,11.0,2.0,2.0,19.0,1.0,2.0,6.0,3.0,7.0,13.0,8.0,6.0,1.0,0.0,1.0
P08758,5.0,0.0,18.0,18.0,1.0,16.0,2.0,1.0,13.0,1.0,1.0,6.0,3.0,8.0,8.0,9.0,8.0,1.0,0.0,1.0
P08779,21.0,6.0,20.0,36.0,10.0,55.0,2.0,7.0,12.0,15.0,5.0,9.0,5.0,28.0,26.0,58.0,15.0,10.0,0.0,5.0
P08833,16.0,0.0,7.0,20.0,0.0,10.0,5.0,2.0,6.0,10.0,3.0,9.0,11.0,7.0,8.0,17.0,8.0,8.0,2.0,1.0
P08842,5.0,0.0,15.0,12.0,4.0,13.0,3.0,1.0,15.0,6.0,2.0,11.0,7.0,8.0,17.0,13.0,7.0,2.0,1.0,1.0
P08861,6.0,0.0,10.0,8.0,2.0,9.0,1.0,1.0,5.0,7.0,2.0,8.0,10.0,2.0,9.0,19.0,2.0,3.0,2.0,3.0
P08865,24.0,0.0,9.0,23.0,5.0,7.0,3.0,2.0,9.0,3.0,2.0,5.0,11.0,13.0,14.0,9.0,14.0,7.0,7.0,3.0
P08887,28.0,2.0,15.0,20.0,7.0,17.0,7.0,5.0,14.0,23.0,6.0,13.0,33.0,15.0,21.0,34.0,23.0,9.0,2.0,4.0
P08908,17.0,1.0,12.0,13.0,7.0,20.0,5.0,3.0,17.0,16.0,1.0,13.0,16.0,5.0,17.0,17.0,12.0,11.0,1.0,3.0
P08910,10.0,1.0,14.0,19.0,2.0,7.0,5.0,1.0,15.0,11.0,2.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,0.0,3.0
P08912,16.0,1.0,12.0,22.0,4.0,14.0,6.0,7.0,34.0,23.0,2.0,11.0,22.0,15.0,20.0,26.0,17.0,11.0,4.0,5.0
P08913,30.0,2.0,10.0,21.0,10.0,38.0,2.0,7.0,15.0,15.0,3.0,6.0,32.0,10.0,31.0,14.0,11.0,13.0,4.0,2.0
P08949,11.0,0.0,3.0,2.0,2.0,8.0,4.0,2.0,6.0,13.0,3.0,1.0,9.0,6.0,11.0,12.0,2.0,2.0,1.0,0.0
P08962,10.0,3.0,3.0,9.0,4.0,9.0,1.0,4.0,11.0,9.0,2.0,8.0,3.0,3.0,5.0,7.0,5.0,11.0,0.0,2.0
P08F94,47.0,7.0,104.0,137.0,2.0,86.0,29.0,15.0,79.0,28.0,10.0,110.0,66.0,80.0,71.0,117.0,66.0,27.0,6.0,6.0
P09001,7.0,0.0,12.0,13.0,0.0,20.0,3.0,1.0,18.0,6.0,1.0,8.0,14.0,8.0,8.0,5.0,6.0,2.0,1.0,0.0
P09012,8.0,0.0,8.0,13.0,0.0,16.0,3.0,2.0,20.0,4.0,10.0,9.0,28.0,16.0,10.0,5.0,8.0,8.0,0.0,2.0
P09016,17.0,3.0,8.0,10.0,5.0,26.0,9.0,0.0,15.0,11.0,5.0,7.0,33.0,13.0,11.0,24.0,9.0,9.0,1.0,10.0
P09017,19.0,5.0,6.0,16.0,2.0,12.0,14.0,6.0,11.0,9.0,4.0,8.0,35.0,13.0,16.0,30.0,11.0,4.0,1.0,11.0
P09038,20.0,2.0,8.0,11.0,0.0,37.0,2.0,3.0,8.0,5.0,2.0,6.0,21.0,2.0,35.0,15.0,9.0,6.0,1.0,1.0
P09067,27.0,3.0,8.0,13.0,5.0,11.0,7.0,4.0,10.0,9.0,5.0,8.0,19.0,10.0,15.0,44.0,11.0,1.0,1.0,3.0
P09086,28.0,2.0,12.0,21.0,4.0,34.0,13.0,5.0,19.0,39.0,7.0,16.0,63.0,36.0,12.0,47.0,32.0,9.0,2.0,2.0
P09093,6.0,0.0,8.0,10.0,2.0,7.0,3.0,3.0,7.0,7.0,2.0,7.0,9.0,3.0,7.0,14.0,3.0,4.0,3.0,4.0
P09104,4.0,0.0,15.0,21.0,0.0,12.0,2.0,1.0,18.0,2.0,1.0,8.0,3.0,5.0,10.0,11.0,3.0,1.0,0.0,1.0
P09105,9.0,1.0,7.0,4.0,0.0,2.0,5.0,0.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,9.0,1.0,1.0,0.0,0.0
P09110,4.0,0.0,9.0,11.0,1.0,15.0,1.0,0.0,16.0,0.0,1.0,5.0,9.0,8.0,15.0,11.0,8.0,1.0,0.0,0.0
P09131,7.0,2.0,6.0,14.0,5.0,20.0,4.0,4.0,8.0,22.0,3.0,3.0,17.0,10.0,8.0,11.0,11.0,6.0,1.0,1.0
P09132,8.0,1.0,6.0,6.0,0.0,8.0,0.0,2.0,13.0,1.0,1.0,5.0,3.0,7.0,6.0,6.0,4.0,1.0,1.0,0.0
P09172,13.0,1.0,14.0,27.0,3.0,18.0,3.0,4.0,17.0,10.0,3.0,11.0,27.0,17.0,15.0,18.0,9.0,7.0,1.0,1.0
P09210,6.0,0.0,10.0,14.0,2.0,5.0,1.0,1.0,17.0,1.0,3.0,5.0,7.0,6.0,5.0,7.0,1.0,0.0,0.0,1.0
P09211,8.0,1.0,9.0,5.0,0.0,11.0,0.0,0.0,11.0,1.0,2.0,4.0,8.0,9.0,3.0,5.0,5.0,3.0,0.0,0.0
P09228,5.0,1.0,5.0,12.0,0.0,2.0,2.0,3.0,4.0,8.0,2.0,4.0,4.0,6.0,8.0,4.0,4.0,2.0,2.0,1.0
P09234,7.0,0.0,6.0,3.0,2.0,14.0,3.0,3.0,7.0,2.0,21.0,0.0,40.0,5.0,8.0,5.0,7.0,2.0,0.0,3.0
P09237,6.0,2.0,9.0,8.0,0.0,12.0,2.0,1.0,15.0,6.0,3.0,8.0,11.0,6.0,10.0,11.0,5.0,3.0,1.0,0.0
P09238,12.0,2.0,15.0,22.0,3.0,12.0,5.0,0.0,21.0,6.0,2.0,10.0,16.0,6.0,12.0,19.0,7.0,3.0,1.0,2.0
P09326,2.0,2.0,8.0,12.0,2.0,6.0,3.0,2.0,16.0,15.0,1.0,8.0,8.0,5.0,5.0,16.0,7.0,3.0,1.0,1.0
P09327,17.0,0.0,25.0,41.0,2.0,18.0,5.0,1.0,43.0,2.0,3.0,25.0,21.0,26.0,17.0,27.0,21.0,4.0,0.0,0.0
P09341,14.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,8.0,12.0,1.0,5.0,5.0,5.0,7.0,7.0,2.0,3.0,0.0,0.0
P09382,5.0,1.0,7.0,4.0,0.0,5.0,1.0,0.0,6.0,1.0,1.0,5.0,6.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0
P09417,11.0,0.0,7.0,13.0,2.0,12.0,0.0,1.0,11.0,0.0,2.0,5.0,5.0,5.0,7.0,10.0,4.0,1.0,1.0,1.0
P09429,12.0,0.0,18.0,35.0,1.0,8.0,0.0,1.0,36.0,0.0,2.0,4.0,10.0,2.0,5.0,6.0,4.0,2.0,0.0,1.0
P09430,1.0,0.0,2.0,0.0,0.0,6.0,3.0,0.0,10.0,3.0,2.0,3.0,1.0,0.0,11.0,9.0,1.0,1.0,0.0,2.0
P09455,2.0,0.0,12.0,12.0,1.0,7.0,0.0,1.0,9.0,1.0,2.0,5.0,1.0,2.0,5.0,0.0,3.0,4.0,0.0,1.0
P09466,3.0,2.0,6.0,10.0,1.0,2.0,0.0,3.0,9.0,8.0,2.0,4.0,10.0,5.0,3.0,2.0,8.0,5.0,1.0,0.0
P09467,6.0,0.0,13.0,13.0,1.0,6.0,3.0,3.0,24.0,0.0,1.0,7.0,6.0,5.0,7.0,7.0,6.0,0.0,0.0,0.0
P09471,9.0,1.0,18.0,24.0,0.0,10.0,3.0,2.0,16.0,1.0,2.0,8.0,4.0,7.0,9.0,9.0,9.0,0.0,0.0,1.0
P09488,3.0,0.0,9.0,13.0,0.0,6.0,1.0,2.0,16.0,2.0,4.0,6.0,9.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0
P09496,24.0,0.0,15.0,27.0,4.0,19.0,3.0,5.0,12.0,4.0,3.0,10.0,18.0,12.0,10.0,14.0,2.0,6.0,0.0,6.0
P09497,22.0,1.0,14.0,28.0,6.0,15.0,1.0,7.0,16.0,4.0,3.0,5.0,11.0,14.0,11.0,17.0,7.0,5.0,1.0,3.0
P09525,6.0,0.0,21.0,9.0,0.0,19.0,0.0,0.0,16.0,3.0,1.0,6.0,1.0,10.0,10.0,13.0,8.0,1.0,0.0,2.0
P09529,16.0,1.0,17.0,24.0,1.0,32.0,5.0,1.0,8.0,13.0,2.0,10.0,25.0,7.0,26.0,14.0,12.0,1.0,2.0,3.0
P09543,7.0,0.0,16.0,22.0,4.0,15.0,1.0,2.0,27.0,1.0,1.0,5.0,9.0,13.0,17.0,12.0,5.0,1.0,0.0,0.0
P09544,6.0,0.0,18.0,8.0,0.0,13.0,5.0,2.0,20.0,9.0,2.0,9.0,7.0,8.0,18.0,7.0,10.0,2.0,3.0,1.0
P09564,22.0,2.0,9.0,6.0,1.0,14.0,3.0,1.0,3.0,24.0,2.0,5.0,18.0,13.0,12.0,17.0,6.0,9.0,2.0,3.0
P09565,5.0,0.0,2.0,2.0,0.0,8.0,3.0,0.0,3.0,0.0,1.0,5.0,15.0,5.0,9.0,3.0,7.0,3.0,0.0,0.0
P09601,7.0,0.0,7.0,18.0,0.0,5.0,2.0,0.0,11.0,7.0,3.0,5.0,18.0,15.0,13.0,11.0,10.0,4.0,1.0,1.0
P09603,26.0,3.0,27.0,39.0,7.0,34.0,9.0,8.0,12.0,39.0,5.0,15.0,59.0,28.0,32.0,60.0,26.0,22.0,5.0,3.0
P09619,20.0,1.0,44.0,77.0,3.0,31.0,11.0,12.0,23.0,32.0,4.0,28.0,43.0,34.0,33.0,56.0,25.0,12.0,1.0,2.0
P09622,9.0,0.0,15.0,19.0,3.0,21.0,6.0,1.0,25.0,0.0,2.0,7.0,7.0,7.0,12.0,14.0,10.0,3.0,0.0,1.0
P09629,23.0,1.0,5.0,16.0,6.0,20.0,3.0,0.0,10.0,5.0,4.0,7.0,9.0,8.0,13.0,20.0,11.0,3.0,1.0,7.0
P09630,13.0,1.0,8.0,15.0,4.0,17.0,5.0,4.0,11.0,6.0,3.0,14.0,7.0,15.0,16.0,22.0,12.0,4.0,2.0,6.0
P09651,4.0,0.0,16.0,16.0,14.0,84.0,4.0,1.0,15.0,2.0,2.0,21.0,9.0,11.0,20.0,37.0,6.0,2.0,0.0,16.0
P09661,5.0,0.0,10.0,16.0,2.0,13.0,0.0,0.0,18.0,2.0,2.0,7.0,5.0,10.0,16.0,8.0,7.0,3.0,0.0,2.0
P09668,11.0,3.0,6.0,6.0,1.0,9.0,6.0,0.0,17.0,6.0,1.0,12.0,7.0,9.0,4.0,9.0,9.0,3.0,2.0,3.0
P09669,9.0,0.0,3.0,3.0,4.0,3.0,1.0,1.0,7.0,7.0,4.0,2.0,3.0,2.0,9.0,2.0,0.0,6.0,0.0,4.0
P09681,11.0,1.0,7.0,10.0,3.0,7.0,4.0,1.0,11.0,14.0,1.0,6.0,8.0,9.0,8.0,13.0,3.0,5.0,1.0,1.0
P09683,13.0,0.0,3.0,6.0,0.0,12.0,1.0,1.0,1.0,20.0,5.0,2.0,14.0,4.0,13.0,11.0,5.0,2.0,4.0,0.0
P09693,8.0,0.0,11.0,6.0,5.0,12.0,2.0,8.0,13.0,14.0,2.0,10.0,4.0,14.0,6.0,9.0,4.0,5.0,0.0,5.0
P09758,14.0,0.0,11.0,13.0,0.0,16.0,3.0,4.0,16.0,14.0,2.0,6.0,14.0,6.0,20.0,12.0,10.0,10.0,0.0,1.0
P09769,11.0,1.0,21.0,25.0,3.0,18.0,2.0,1.0,17.0,4.0,2.0,12.0,13.0,14.0,15.0,12.0,14.0,2.0,0.0,3.0
P09848,25.0,1.0,56.0,70.0,2.0,26.0,11.0,0.0,38.0,8.0,3.0,37.0,28.0,36.0,29.0,62.0,31.0,3.0,2.0,2.0
P09871,9.0,0.0,24.0,48.0,1.0,18.0,3.0,2.0,26.0,4.0,4.0,23.0,23.0,8.0,15.0,15.0,14.0,5.0,2.0,2.0
P09874,21.0,0.0,42.0,64.0,0.0,38.0,7.0,4.0,95.0,2.0,3.0,21.0,19.0,21.0,12.0,47.0,16.0,11.0,2.0,0.0
P09884,35.0,1.0,85.0,94.0,7.0,43.0,9.0,7.0,103.0,13.0,6.0,36.0,36.0,46.0,26.0,47.0,31.0,19.0,0.0,4.0
P09912,8.0,1.0,3.0,6.0,3.0,12.0,0.0,2.0,6.0,10.0,2.0,2.0,2.0,1.0,1.0,8.0,3.0,4.0,2.0,3.0
P09913,5.0,0.0,17.0,41.0,1.0,10.0,2.0,1.0,29.0,2.0,2.0,17.0,8.0,13.0,13.0,15.0,1.0,1.0,0.0,5.0
P09914,8.0,1.0,17.0,36.0,4.0,11.0,2.0,1.0,33.0,4.0,1.0,15.0,8.0,16.0,18.0,5.0,6.0,3.0,0.0,0.0
P09917,7.0,2.0,27.0,36.0,2.0,7.0,3.0,0.0,27.0,3.0,1.0,11.0,8.0,12.0,11.0,10.0,10.0,2.0,2.0,4.0
P09919,17.0,0.0,3.0,9.0,1.0,7.0,3.0,0.0,5.0,5.0,2.0,0.0,10.0,11.0,3.0,10.0,7.0,0.0,2.0,0.0
P09923,19.0,2.0,13.0,14.0,0.0,12.0,1.0,0.0,10.0,4.0,2.0,10.0,15.0,14.0,8.0,11.0,7.0,3.0,0.0,0.0
P09936,6.0,0.0,7.0,17.0,1.0,10.0,0.0,0.0,12.0,0.0,1.0,3.0,3.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0
P09958,15.0,1.0,25.0,27.0,1.0,22.0,5.0,0.0,16.0,12.0,1.0,14.0,31.0,25.0,23.0,22.0,16.0,7.0,2.0,1.0
P09960,7.0,0.0,25.0,23.0,0.0,8.0,0.0,2.0,27.0,0.0,2.0,11.0,11.0,10.0,8.0,10.0,9.0,1.0,0.0,3.0
P09972,8.0,0.0,14.0,15.0,1.0,14.0,4.0,1.0,16.0,1.0,1.0,5.0,8.0,9.0,10.0,5.0,0.0,1.0,0.0,4.0
P0C024,4.0,0.0,9.0,11.0,0.0,6.0,6.0,0.0,10.0,5.0,2.0,4.0,7.0,5.0,8.0,5.0,6.0,1.0,0.0,2.0
P0C025,10.0,0.0,9.0,16.0,1.0,13.0,3.0,0.0,7.0,6.0,3.0,4.0,22.0,11.0,15.0,9.0,6.0,2.0,2.0,1.0
P0C091,39.0,1.0,86.0,88.0,2.0,73.0,29.0,4.0,55.0,20.0,3.0,58.0,63.0,57.0,60.0,63.0,56.0,16.0,0.0,7.0
P0C0L4,21.0,0.0,58.0,67.0,2.0,51.0,11.0,3.0,52.0,11.0,3.0,28.0,38.0,44.0,51.0,46.0,32.0,10.0,2.0,1.0
P0C0P6,2.0,1.0,2.0,2.0,5.0,4.0,1.0,3.0,10.0,7.0,3.0,3.0,4.0,1.0,5.0,13.0,4.0,7.0,1.0,2.0
P0C0S5,10.0,0.0,2.0,5.0,0.0,13.0,4.0,1.0,14.0,4.0,1.0,1.0,1.0,5.0,9.0,6.0,6.0,5.0,0.0,2.0
P0C1H6,11.0,2.0,4.0,8.0,1.0,7.0,3.0,2.0,9.0,3.0,2.0,3.0,3.0,10.0,15.0,14.0,9.0,2.0,1.0,1.0
P0C1S8,12.0,1.0,20.0,46.0,3.0,25.0,10.0,5.0,35.0,24.0,3.0,14.0,27.0,16.0,21.0,42.0,23.0,10.0,1.0,3.0
P0C1Z6,18.0,0.0,12.0,33.0,8.0,21.0,2.0,2.0,5.0,16.0,2.0,5.0,23.0,11.0,32.0,15.0,9.0,8.0,1.0,3.0
P0C221,21.0,1.0,24.0,75.0,5.0,6.0,4.0,6.0,57.0,15.0,7.0,27.0,5.0,38.0,23.0,20.0,25.0,11.0,0.0,6.0
P0C263,16.0,1.0,7.0,27.0,1.0,17.0,3.0,1.0,3.0,4.0,1.0,0.0,17.0,12.0,16.0,8.0,6.0,2.0,0.0,2.0
P0C264,9.0,0.0,19.0,18.0,0.0,20.0,2.0,1.0,3.0,6.0,1.0,1.0,25.0,10.0,17.0,13.0,10.0,5.0,1.0,2.0
P0C2L3,10.0,4.0,6.0,16.0,5.0,10.0,4.0,6.0,4.0,16.0,1.0,6.0,13.0,6.0,9.0,15.0,9.0,11.0,0.0,5.0
P0C2S0,5.0,3.0,3.0,7.0,7.0,5.0,0.0,4.0,4.0,9.0,3.0,2.0,2.0,1.0,1.0,11.0,5.0,4.0,1.0,3.0
P0C2W1,17.0,1.0,6.0,11.0,0.0,25.0,2.0,2.0,9.0,1.0,1.0,10.0,9.0,7.0,10.0,11.0,1.0,1.0,0.0,2.0
P0C2W7,48.0,0.0,15.0,55.0,2.0,26.0,4.0,2.0,10.0,14.0,4.0,9.0,23.0,13.0,9.0,15.0,9.0,17.0,2.0,3.0
P0C2Y1,12.0,2.0,27.0,54.0,3.0,9.0,8.0,7.0,33.0,14.0,4.0,19.0,21.0,25.0,14.0,33.0,17.0,16.0,3.0,4.0
P0C5J1,12.0,0.0,8.0,18.0,0.0,6.0,5.0,1.0,10.0,4.0,1.0,4.0,7.0,9.0,13.0,11.0,6.0,6.0,0.0,1.0
P0C5K6,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,5.0,1.0,2.0,0.0,0.0
P0C5K7,2.0,1.0,4.0,3.0,0.0,4.0,9.0,0.0,4.0,2.0,3.0,1.0,7.0,7.0,9.0,19.0,6.0,0.0,0.0,1.0
P0C5Y4,2.0,2.0,1.0,5.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,1.0,16.0,8.0,0.0,0.0,2.0
P0C5Y9,5.0,1.0,1.0,8.0,0.0,8.0,2.0,0.0,1.0,2.0,2.0,5.0,2.0,4.0,16.0,7.0,5.0,2.0,0.0,3.0
P0C604,2.0,0.0,5.0,4.0,14.0,6.0,1.0,6.0,8.0,12.0,2.0,11.0,8.0,4.0,6.0,5.0,6.0,10.0,0.0,5.0
P0C617,6.0,1.0,3.0,8.0,9.0,6.0,4.0,5.0,9.0,13.0,3.0,5.0,5.0,5.0,4.0,8.0,5.0,10.0,0.0,5.0
P0C623,5.0,0.0,4.0,6.0,15.0,3.0,2.0,3.0,10.0,6.0,4.0,3.0,5.0,5.0,7.0,8.0,11.0,14.0,0.0,2.0
P0C626,3.0,1.0,6.0,5.0,12.0,6.0,1.0,8.0,8.0,11.0,4.0,2.0,5.0,6.0,7.0,6.0,6.0,8.0,3.0,1.0
P0C628,8.0,0.0,3.0,4.0,10.0,5.0,4.0,6.0,11.0,10.0,4.0,4.0,6.0,2.0,5.0,10.0,5.0,6.0,1.0,2.0
P0C629,8.0,0.0,3.0,5.0,7.0,1.0,2.0,8.0,8.0,12.0,3.0,4.0,8.0,7.0,7.0,10.0,5.0,9.0,1.0,0.0
P0C645,4.0,0.0,4.0,11.0,5.0,3.0,3.0,12.0,13.0,10.0,2.0,4.0,5.0,3.0,8.0,10.0,4.0,10.0,2.0,3.0
P0C646,2.0,3.0,2.0,2.0,11.0,9.0,5.0,9.0,4.0,5.0,2.0,2.0,4.0,2.0,5.0,7.0,6.0,3.0,3.0,1.0
P0C671,57.0,4.0,28.0,64.0,5.0,35.0,21.0,5.0,48.0,24.0,1.0,10.0,57.0,38.0,49.0,61.0,21.0,16.0,4.0,4.0
P0C672,6.0,1.0,7.0,10.0,8.0,3.0,3.0,4.0,11.0,9.0,2.0,13.0,2.0,3.0,4.0,6.0,8.0,4.0,3.0,1.0
P0C6A0,14.0,2.0,12.0,13.0,0.0,18.0,4.0,2.0,12.0,10.0,2.0,2.0,30.0,16.0,25.0,16.0,10.0,7.0,0.0,1.0
P0C6C1,20.0,3.0,34.0,25.0,6.0,24.0,11.0,10.0,37.0,38.0,6.0,15.0,41.0,15.0,31.0,59.0,20.0,14.0,2.0,3.0
P0C6P0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,5.0,1.0,0.0,3.0
P0C6S8,24.0,2.0,14.0,22.0,6.0,17.0,11.0,2.0,9.0,15.0,3.0,15.0,16.0,13.0,46.0,9.0,19.0,4.0,2.0,1.0
P0C6T2,3.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,2.0
P0C7A2,14.0,2.0,23.0,54.0,1.0,20.0,8.0,3.0,21.0,4.0,5.0,4.0,18.0,14.0,14.0,22.0,22.0,6.0,1.0,2.0
P0C7H8,0.0,11.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,6.0,10.0,13.0,15.0,5.0,0.0,1.0
P0C7H9,13.0,2.0,21.0,26.0,1.0,16.0,17.0,0.0,26.0,14.0,3.0,13.0,19.0,30.0,18.0,26.0,21.0,6.0,2.0,2.0
P0C7I0,13.0,2.0,17.0,30.0,2.0,16.0,16.0,1.0,25.0,15.0,5.0,13.0,20.0,28.0,21.0,26.0,16.0,5.0,2.0,2.0
P0C7I6,8.0,7.0,13.0,25.0,5.0,11.0,7.0,3.0,23.0,8.0,4.0,3.0,13.0,24.0,7.0,22.0,10.0,7.0,2.0,0.0
P0C7L1,5.0,1.0,6.0,5.0,4.0,3.0,0.0,5.0,6.0,4.0,4.0,4.0,3.0,3.0,1.0,7.0,4.0,2.0,2.0,0.0
P0C7M3,2.0,0.0,3.0,6.0,2.0,3.0,3.0,1.0,2.0,6.0,2.0,1.0,3.0,6.0,7.0,9.0,6.0,1.0,0.0,0.0
P0C7M4,19.0,3.0,13.0,28.0,9.0,26.0,5.0,3.0,8.0,17.0,11.0,9.0,30.0,18.0,10.0,18.0,7.0,11.0,2.0,3.0
P0C7M6,10.0,4.0,3.0,6.0,2.0,5.0,3.0,7.0,7.0,15.0,3.0,1.0,3.0,20.0,19.0,5.0,4.0,8.0,6.0,2.0
P0C7M7,5.0,0.0,14.0,26.0,1.0,15.0,0.0,3.0,27.0,2.0,1.0,10.0,17.0,16.0,18.0,13.0,8.0,2.0,0.0,2.0
P0C7M8,19.0,1.0,7.0,16.0,1.0,10.0,1.0,5.0,5.0,12.0,3.0,2.0,19.0,3.0,14.0,8.0,12.0,4.0,1.0,2.0
P0C7N1,5.0,1.0,6.0,3.0,8.0,3.0,5.0,6.0,6.0,13.0,4.0,5.0,4.0,5.0,9.0,11.0,3.0,5.0,0.0,2.0
P0C7N4,16.0,1.0,8.0,30.0,3.0,13.0,2.0,2.0,5.0,18.0,2.0,4.0,19.0,27.0,30.0,13.0,9.0,7.0,1.0,3.0
P0C7N5,4.0,1.0,3.0,5.0,7.0,3.0,3.0,9.0,6.0,14.0,4.0,6.0,4.0,8.0,6.0,9.0,5.0,3.0,0.0,3.0
P0C7N8,6.0,2.0,5.0,5.0,8.0,5.0,2.0,6.0,10.0,11.0,1.0,3.0,4.0,3.0,4.0,14.0,3.0,5.0,0.0,4.0
P0C7P0,8.0,0.0,3.0,4.0,1.0,6.0,0.0,2.0,9.0,4.0,1.0,1.0,6.0,4.0,14.0,6.0,4.0,3.0,2.0,1.0
P0C7P1,21.0,2.0,29.0,23.0,1.0,47.0,24.0,3.0,17.0,8.0,5.0,17.0,33.0,8.0,68.0,67.0,13.0,7.0,3.0,28.0
P0C7P2,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,3.0,3.0,4.0,6.0,20.0,9.0,1.0,0.0,0.0
P0C7P3,12.0,3.0,21.0,50.0,0.0,18.0,8.0,2.0,49.0,3.0,1.0,19.0,21.0,25.0,22.0,29.0,20.0,6.0,0.0,2.0
P0C7P4,8.0,0.0,10.0,13.0,1.0,7.0,1.0,1.0,11.0,7.0,2.0,5.0,10.0,10.0,12.0,13.0,7.0,1.0,0.0,1.0
P0C7Q2,6.0,0.0,2.0,6.0,0.0,9.0,1.0,0.0,4.0,5.0,4.0,0.0,8.0,5.0,6.0,11.0,3.0,3.0,0.0,1.0
P0C7Q5,3.0,1.0,5.0,7.0,3.0,6.0,6.0,5.0,3.0,16.0,1.0,3.0,12.0,7.0,6.0,14.0,9.0,4.0,3.0,4.0
P0C7Q6,7.0,2.0,5.0,8.0,3.0,8.0,6.0,3.0,4.0,17.0,1.0,4.0,14.0,6.0,4.0,13.0,4.0,5.0,4.0,4.0
P0C7T2,9.0,0.0,3.0,4.0,8.0,2.0,3.0,4.0,7.0,9.0,2.0,1.0,7.0,3.0,8.0,12.0,9.0,7.0,2.0,3.0
P0C7T3,4.0,0.0,5.0,2.0,5.0,4.0,1.0,5.0,6.0,17.0,2.0,4.0,5.0,6.0,10.0,11.0,6.0,3.0,3.0,3.0
P0C7T4,1.0,1.0,0.0,5.0,3.0,1.0,1.0,4.0,2.0,10.0,3.0,2.0,2.0,4.0,1.0,6.0,4.0,3.0,0.0,0.0
