ID,PTM_count,Phosphorylation,Glycosylation,Ubiquitination,SUMOylation,Acetyllysine,Palmitoylation,Hydroxylation,Methylation,Pyrrolidone_carboxylic_acid
P40429,9,1,1,0,0,1,0,0,5,1
P18124,13,4,1,1,2,1,0,2,2,0
Q9NX20,22,9,3,3,0,3,0,1,3,0
Q7Z7F7,12,7,0,1,1,0,0,0,0,3
Q8N5N7,7,2,1,1,1,0,1,1,0,0
Q9NVU0,31,15,2,4,1,6,0,0,1,2
P56715,183,108,34,8,3,21,1,3,3,2
Q9ULK6,23,4,12,2,0,1,2,1,0,1
Q9NSQ0,5,2,0,2,0,0,0,0,0,1
Q92766,136,85,24,11,5,2,0,3,6,0
P61247,15,6,0,1,2,5,0,0,1,0
Q9H0K4,39,22,1,8,1,2,0,1,2,2
A1A5C7,31,8,9,2,1,1,0,4,3,3
P82663,8,3,1,0,1,1,0,1,1,0
Q9UGH3,35,16,9,0,0,4,0,4,0,2
Q96RN1,53,31,13,1,3,1,1,0,1,2
Q8WWV3,25,4,7,5,1,3,3,0,2,0
Q7LBE3,28,10,6,1,0,4,0,0,2,5
P06702,6,1,0,2,1,0,1,1,0,0
Q9UBT2,48,16,10,9,8,5,0,0,0,0
P80511,4,0,0,3,0,1,0,0,0,0
Q9HCY8,7,3,1,0,1,0,1,0,0,1
Q9BXP2,33,15,6,1,0,0,0,0,9,2
Q86VW1,22,9,9,1,2,0,0,0,0,1
Q8NF91,369,170,37,70,16,46,3,0,9,18
Q9UHW9,60,28,21,2,1,2,4,0,1,1
Q2Y0W8,45,20,8,5,2,2,1,1,1,5
Q9UDX3,16,8,2,1,0,3,0,1,1,0
B5MCN3,16,7,1,3,1,1,1,0,1,1
Q9BYT1,8,0,1,1,0,0,0,3,0,3
P82979,19,10,1,3,3,2,0,0,0,0
P21453,26,12,8,1,0,0,2,2,0,1
P0DJI8,7,2,0,3,0,1,0,0,1,0
Q6UVJ0,40,16,10,6,1,5,0,1,0,1
Q9Y2R9,12,4,0,4,0,3,0,1,0,0
Q86VV8,73,25,29,6,5,1,0,1,1,5
Q9NQC3,113,66,22,11,8,1,0,2,1,2
P09661,17,10,2,2,0,1,0,1,1,0
Q66K80,25,11,2,2,0,0,0,3,6,1
Q5K651,44,9,9,4,5,10,0,1,2,4
O60783,2,1,0,0,0,0,0,0,0,1
Q8TEE9,27,9,6,0,1,0,0,8,3,0
P82912,10,4,1,2,1,0,0,1,0,1
Q13214,36,17,3,4,0,2,0,6,3,1
Q9NR46,29,9,10,7,0,2,0,1,0,0
Q9UBV2,46,20,6,5,2,3,0,1,3,6
Q9BT88,29,18,1,3,2,1,2,0,1,1
Q96HL8,14,4,3,2,1,2,0,0,2,0
Q8N5H7,82,58,9,8,1,5,0,0,1,0
Q8WV19,5,1,0,2,0,0,2,0,0,0
Q12981,4,0,1,1,0,1,0,0,0,1
Q15464,62,39,6,5,0,4,3,2,1,2
O60939,11,3,3,1,2,0,1,0,0,1
P0C7M3,1,1,0,0,0,0,0,0,0,0
Q8N6R1,5,0,1,0,0,1,0,0,1,2
Q99590,170,95,25,12,4,8,1,11,10,4
Q96LD8,7,1,1,2,0,2,0,1,0,0
Q12765,20,9,4,2,1,2,0,2,0,0
Q9Y345,39,11,13,4,0,0,2,4,1,4
Q8IYM1,21,11,1,0,0,0,1,4,2,2
Q15796,38,16,11,3,1,2,1,2,1,1
Q16613,14,5,4,0,1,0,1,1,1,1
A6NHR9,68,34,10,11,5,5,0,1,2,0
O75602,16,5,1,6,0,1,0,0,1,2
Q92922,104,38,16,12,3,5,0,26,3,1
Q8TCT7,34,17,6,1,0,1,0,4,3,2
A6NCI5,2,0,0,0,0,0,1,0,0,1
Q6PJ21,26,8,9,0,0,1,5,3,0,0
P56693,42,18,12,4,3,0,0,2,1,2
Q13526,13,6,2,2,0,1,0,0,2,0
Q13371,18,13,1,2,0,1,1,0,0,0
P29590,68,38,11,7,3,1,0,4,1,3
Q14761,14,12,1,0,0,0,1,0,0,0
P23468,71,32,16,7,3,8,0,1,3,1
Q9H0J4,101,56,10,13,1,4,0,1,13,3
Q9BRQ0,55,14,11,4,0,1,0,16,7,2
Q8TDU9,18,4,7,0,0,0,1,1,2,3
P62910,5,2,2,0,0,0,0,0,1,0
P0DPB6,5,4,1,0,0,0,0,0,0,0
Q9GZM3,1,0,0,0,0,0,1,0,0,0
P52198,13,4,3,3,0,0,0,0,1,2
Q9NVW2,70,45,17,2,0,0,0,1,5,0
Q5TA31,11,4,0,3,0,0,0,1,2,1
Q9BY78,11,6,0,1,0,0,0,0,2,2
Q96P16,21,13,2,6,0,0,0,0,0,0
Q9NQ39,16,2,1,2,1,1,1,2,6,0
Q9Y2B1,17,5,3,2,0,2,1,2,1,1
Q7Z769,7,1,3,1,0,0,0,0,0,2
Q9H2B4,19,4,4,0,0,0,2,0,2,7
Q8WUT9,10,3,0,1,0,0,0,2,3,1
Q96E40,16,4,1,1,0,2,0,4,3,1
Q6P1M0,14,4,4,4,0,0,0,0,1,1
Q9Y2W3,43,20,11,2,1,0,0,7,0,2
Q8TF17,51,26,3,8,2,1,2,2,2,5
Q8NBI5,14,3,4,1,3,0,1,0,1,1
Q9UHP6,12,2,4,5,0,0,0,0,0,1
Q8WWT9,16,2,8,2,0,1,0,1,0,2
Q9NRA2,13,3,7,0,0,0,0,0,1,2
Q96DX4,17,10,4,1,0,0,0,0,0,2
Q9UL12,43,20,5,6,1,5,0,1,4,1
Q8WUM9,32,13,12,0,2,4,1,0,0,0
Q96BU1,45,31,6,5,0,1,1,0,0,1
Q6ZNE9,25,12,0,6,0,1,2,3,1,0
O94885,128,91,12,12,1,5,0,4,3,0
P08621,21,9,2,5,0,0,0,0,3,2
Q7M4L6,40,29,5,2,0,1,0,1,0,2
Q12874,30,18,3,3,0,3,0,1,0,2
Q99442,31,20,1,3,5,1,0,1,0,0
Q99963,16,8,1,5,1,1,0,0,0,0
Q9UN30,28,21,5,1,1,0,0,0,0,0
Q9UQR0,73,41,12,5,7,5,0,0,1,2
Q9BYB0,184,100,14,15,2,4,0,35,8,6
Q86VW0,21,10,2,2,1,4,0,0,1,1
Q15019,12,5,1,4,0,1,0,0,0,1
O00560,8,4,1,1,1,1,0,0,0,0
Q96F10,9,3,0,4,0,1,0,0,1,0
Q9BSV6,27,15,1,5,0,0,0,0,4,2
Q8N9R8,26,11,3,2,0,4,1,0,4,1
Q9NY91,17,4,6,2,0,0,0,2,0,3
P47872,17,4,8,0,0,1,3,0,0,1
P21583,26,7,11,1,1,3,0,0,2,1
Q6GMV2,17,3,4,4,0,2,4,0,0,0
Q9NXX6,26,20,1,2,0,0,0,0,3,0
Q8NGZ5,4,0,1,0,0,1,0,0,0,2
Q8TE49,87,40,11,9,2,5,0,10,8,2
Q8NDX1,84,51,14,5,2,0,0,4,6,2
Q9Y5G6,39,12,12,4,2,4,0,0,5,0
A0A2R8YFL7,7,4,1,0,0,0,2,0,0,0
Q8NH16,2,0,2,0,0,0,0,0,0,0
Q6QHF9,16,8,1,3,2,0,0,0,1,1
O43252,18,7,2,3,0,1,1,1,3,0
Q8NGA6,7,2,1,0,0,1,2,0,0,1
Q9BZA7,79,35,30,3,4,2,1,0,1,3
Q7L5N7,26,12,3,1,1,3,1,1,2,2
P16499,24,10,0,1,1,7,1,3,0,1
P0CB38,24,11,2,2,0,7,0,0,1,1
Q15365,15,8,5,0,0,1,1,0,0,0
P27815,73,44,17,4,1,0,0,2,0,5
Q86U42,46,15,1,5,0,2,0,8,15,0
Q9BPV8,13,6,5,0,0,0,0,0,0,2
Q13177,41,30,3,5,0,2,0,1,0,0
Q9P0J1,16,7,1,0,1,2,0,1,2,2
Q32P28,36,23,4,2,1,1,2,1,1,1
P30039,9,2,3,2,1,0,0,0,1,0
Q92508,91,33,21,9,1,4,1,0,1,21
Q53EL6,35,26,2,4,1,0,0,0,2,0
Q9H0N5,6,1,0,2,0,3,0,0,0,0
Q8WXI9,47,24,6,8,1,0,0,1,5,2
Q8N490,18,8,3,3,1,0,0,0,2,1
Q6P1K2,11,7,0,2,1,0,0,0,0,1
A0A1W2PS18,21,3,12,2,0,0,0,3,0,1
P10266,34,9,10,5,1,4,1,0,4,0
Q9ULR3,34,18,5,5,0,1,0,4,1,0
Q9Y446,63,40,11,2,0,2,0,5,2,1
A0JP26,48,22,2,4,0,2,12,3,2,1
Q99471,6,0,3,1,0,1,0,0,0,1
P35813,23,14,2,3,2,2,0,0,0,0
P42338,34,10,6,6,3,7,1,0,1,0
A0PG75,13,0,5,1,0,2,3,0,0,2
Q9UHV8,5,1,0,1,0,1,2,0,0,0
Q63HM9,13,6,2,1,1,2,0,0,0,1
P25787,14,10,1,2,0,1,0,0,0,0
Q7Z3G6,78,61,6,4,0,0,0,1,5,1
P04554,13,6,0,0,0,0,4,2,0,1
Q00887,20,5,12,0,0,0,0,2,1,0
P26599,17,8,1,1,0,3,0,1,3,0
Q9NXS2,10,6,2,0,0,1,0,0,1,0
B4DYI2,104,63,16,8,0,5,1,5,5,1
Q9H446,10,8,1,0,0,0,0,1,0,0
Q9UIY3,5,2,0,1,2,0,0,0,0,0
P0C7Q6,13,2,5,0,1,0,1,2,0,2
Q8N413,11,3,1,1,0,0,0,2,3,1
Q8N357,12,5,2,0,0,0,0,0,3,2
Q96ER3,21,10,0,2,2,0,0,5,0,2
P21817,156,63,26,26,7,15,3,3,3,10
Q9ULF5,36,15,9,5,1,1,2,0,1,2
Q96JW4,12,5,3,1,0,1,0,0,0,2
Q15424,83,53,3,5,2,3,0,5,8,4
P47897,19,4,4,4,1,4,0,1,1,0
Q9UJJ7,16,5,4,2,0,1,0,4,0,0
Q96DX8,13,4,2,2,1,1,3,0,0,0
Q6P4A7,16,8,3,0,0,2,0,0,0,3
Q08648,8,2,1,0,1,0,1,1,1,1
Q9BQE4,22,10,0,2,0,0,0,2,3,5
Q8IYI0,14,11,2,0,0,1,0,0,0,0
O95969,7,0,0,0,0,2,3,0,1,1
Q15428,50,3,13,2,3,1,0,24,2,2
P31040,40,13,3,1,1,18,0,2,2,0
Q99962,18,7,0,3,0,4,0,0,2,2
Q9Y3B4,8,3,1,0,0,2,0,0,1,1
Q8TEJ3,103,41,35,1,1,4,1,6,9,5
P29353,42,16,8,4,1,2,1,8,1,1
Q9NY46,111,63,23,4,5,2,2,0,2,10
Q9NY72,15,5,6,1,0,1,2,0,0,0
Q9NQF3,11,3,2,2,0,0,2,2,0,0
A8MV23,19,2,9,1,3,1,2,0,0,1
Q6ICB4,22,14,0,3,0,0,0,3,1,1
Q9H2E6,72,36,17,7,2,5,1,3,1,0
Q02383,51,39,2,7,0,1,0,0,1,1
Q7Z6J9,31,20,1,3,0,1,0,4,1,1
Q9GZR1,87,53,15,7,3,5,1,2,0,1
P0C264,24,15,5,1,0,1,1,1,0,0
Q6ZU15,11,1,4,2,0,3,0,0,0,1
P67812,5,1,0,2,0,1,0,0,0,1
O76013,22,9,3,3,1,1,1,1,2,1
P48050,22,8,5,3,0,1,0,4,0,1
Q9HB14,21,8,4,1,0,0,5,0,1,2
Q9NZI2,9,1,1,1,2,3,0,0,1,0
Q04759,30,13,2,5,2,5,1,1,0,1
P27361,16,7,3,1,0,3,0,0,1,1
Q7Z6M3,20,8,6,2,1,0,3,0,0,0
P14780,42,9,18,2,0,1,2,3,3,4
Q8NGT0,4,1,1,0,0,1,0,1,0,0
A6NES4,43,19,9,3,3,4,0,1,2,2
O95255,51,15,19,4,0,2,0,2,2,7
O95665,20,11,2,1,1,0,1,3,0,1
Q9Y4C0,83,37,26,5,2,6,0,4,1,2
Q9Y328,8,3,1,0,0,1,0,3,0,0
Q96P68,8,3,4,1,0,0,0,0,0,0
Q8WXA2,8,0,0,0,0,0,4,1,3,0
P10082,5,3,0,0,1,0,0,0,0,1
Q9HBH0,10,1,2,2,0,0,1,3,0,1
Q9H426,16,14,1,0,0,0,1,0,0,0
Q5EBL4,24,12,2,7,0,2,0,0,0,1
Q9NWS8,16,10,4,1,1,0,0,0,0,0
Q9Y4L5,24,13,7,1,0,1,0,0,2,0
Q8N7X1,146,103,9,7,2,2,0,2,21,0
P62917,18,4,0,5,0,2,0,2,5,0
Q9Y225,8,1,0,0,0,0,3,1,2,1
Q15637,120,12,29,2,0,2,0,72,2,1
A0A286YFG1,24,0,2,0,0,0,20,2,0,0
P0DSO2,23,0,1,0,0,0,20,2,0,0
Q15459,72,20,15,13,2,0,0,16,5,1
O95754,42,17,8,4,1,1,0,5,2,4
Q8TEC5,56,23,19,3,1,2,0,0,6,2
P04278,20,7,7,1,1,0,0,2,0,2
Q6P3W7,42,22,14,1,0,5,0,0,0,0
Q8IWT1,15,3,3,0,4,2,0,3,0,0
Q5T4F7,4,1,1,0,1,0,0,1,0,0
Q8N474,9,1,4,0,2,0,1,0,1,0
Q8WYJ6,20,11,0,4,0,0,0,0,2,3
Q9H3T2,67,26,14,2,0,2,2,8,10,3
Q99719,16,8,1,4,0,1,0,0,1,1
Q14141,17,7,3,2,2,1,1,0,0,1
Q15437,23,7,6,3,0,2,3,0,1,1
P0C263,16,8,1,1,0,1,0,2,2,1
Q9BQF6,73,44,19,2,2,3,0,1,2,0
O95487,60,24,23,1,1,1,1,7,1,1
P57772,25,12,3,4,1,2,0,0,2,1
Q8TAC9,8,2,1,1,0,0,2,0,2,0
Q658L1,25,10,2,0,1,3,3,4,1,1
Q9Y5Y9,97,52,18,7,4,2,0,3,5,6
Q8N695,7,1,4,0,0,0,0,0,0,2
P48067,25,8,10,1,0,0,0,0,3,3
Q01959,18,3,5,5,0,0,2,0,2,1
Q6R2W3,71,28,21,3,3,8,2,1,1,4
P63208,12,6,0,4,0,0,0,1,0,1
Q8IW75,15,3,3,5,2,2,0,0,0,0
Q13309,22,9,5,0,0,4,2,0,2,0
Q969G3,53,19,13,6,1,2,0,7,4,1
Q9Y5B9,72,32,12,10,3,10,0,2,3,0
Q9H4F8,19,10,4,3,1,0,1,0,0,0
Q9H210,4,0,1,1,0,0,0,0,0,2
Q9UNZ2,26,14,4,5,0,1,0,0,0,2
P51003,72,26,30,4,7,2,0,1,2,0
Q9H714,40,24,9,2,0,3,0,0,0,2
Q5JUK9,9,7,0,0,1,0,0,0,0,1
O43924,5,1,2,1,0,0,0,0,1,0
Q9H074,32,12,8,5,0,1,1,1,3,1
O75914,44,28,6,2,2,4,0,1,1,0
O00623,16,7,3,3,1,2,0,0,0,0
C9JE40,32,17,4,4,0,1,2,1,3,0
Q9NST1,27,16,2,1,0,2,1,1,2,2
P0CW24,18,7,2,4,0,0,1,1,1,2
Q86XI6,9,5,1,1,0,1,0,0,1,0
Q9BRP8,23,13,4,5,0,0,0,0,0,1
O76021,66,32,15,1,6,2,0,1,7,2
P46777,15,8,0,3,0,3,0,0,1,0
O60930,17,9,0,4,0,1,0,0,3,0
A6NIZ1,8,4,0,1,0,1,0,0,2,0
Q6ZSG1,18,10,4,0,1,0,0,0,3,0
Q15287,32,20,4,1,0,0,0,7,0,0
Q9Y6U7,21,6,1,3,0,0,1,5,1,4
Q969S9,23,8,2,7,1,2,1,0,2,0
P15880,22,5,3,3,1,1,0,3,6,0
Q5VU36,93,53,16,7,2,2,1,6,4,2
Q8IZD6,14,8,5,0,0,0,0,0,0,1
Q9BZJ4,8,4,0,0,0,2,0,0,0,2
Q92665,25,15,3,3,2,1,0,0,1,0
Q9HBV2,22,14,4,1,0,0,1,1,1,0
Q6P5W5,16,7,3,0,1,0,1,1,1,2
Q99808,16,4,4,1,2,1,2,0,0,2
Q15043,12,2,3,2,0,0,2,0,2,1
P31949,7,2,1,1,0,2,0,1,0,0
Q9UBE0,24,14,0,4,2,2,1,0,0,1
O43765,24,13,1,7,0,0,0,2,1,0
Q9C0C4,49,16,9,8,1,1,0,9,3,2
Q9HCN8,13,8,1,0,0,0,0,1,3,0
P55822,17,10,0,4,1,0,0,1,0,1
A4FU49,90,55,15,7,5,2,0,3,1,2
O75368,8,1,3,2,0,0,0,1,1,0
Q8IZQ5,7,2,0,2,1,0,0,1,1,0
Q7Z6J0,81,32,29,5,1,2,0,3,6,3
P55735,9,6,3,0,0,0,0,0,0,0
Q12872,127,57,25,14,6,4,0,10,10,1
Q99250,108,64,19,4,5,3,1,1,2,9
Q9NP50,20,9,2,1,0,0,5,2,0,1
P23246,131,24,15,11,2,4,0,56,15,4
Q9H7N4,201,80,36,15,2,4,0,57,6,1
Q9H1H9,126,66,23,16,2,7,4,4,3,1
O00142,8,4,1,0,0,0,2,0,1,0
Q9HA64,11,3,0,3,1,1,1,0,2,0
B2CW77,18,6,2,1,0,1,1,4,3,0
O60341,49,16,11,5,5,2,0,3,2,5
Q3MIV0,4,1,0,1,0,0,1,1,0,0
O60938,15,6,4,0,1,1,1,1,0,1
Q86WI0,1,0,1,0,0,0,0,0,0,0
P05771,35,21,2,3,1,3,0,5,0,0
C9JBD0,8,1,5,0,0,1,1,0,0,0
Q96MC5,15,3,2,3,3,2,2,0,0,0
Q5EB52,7,2,1,2,0,0,1,0,0,1
P03956,19,7,2,3,0,6,1,0,0,0
Q2M2H8,263,14,231,3,2,3,0,1,6,3
O60487,10,5,2,0,1,0,0,0,1,1
Q96HJ5,20,9,3,1,0,0,2,2,0,3
Q99572,34,12,5,1,2,3,5,5,1,0
Q14872,52,17,23,2,1,1,0,7,0,1
Q15390,28,10,7,7,0,0,0,3,0,1
O15146,39,15,4,5,4,4,2,3,1,1
P11055,129,59,11,35,7,12,0,1,2,2
Q3BBV2,65,30,6,18,3,1,0,5,1,1
Q9BXD5,17,6,2,4,0,1,0,0,3,1
Q13823,50,21,3,9,2,9,0,1,4,1
Q92979,8,3,0,3,0,2,0,0,0,0
Q9HBJ0,9,3,0,0,0,2,0,1,2,1
Q86UY8,20,8,2,0,0,4,0,1,5,0
Q5TFE4,18,8,2,3,1,3,0,0,0,1
O60356,12,6,3,1,0,1,0,1,0,0
Q8NH09,8,2,2,0,1,0,0,1,1,1
P58173,5,1,1,0,0,0,0,1,0,2
Q8NGT9,5,3,1,1,0,0,0,0,0,0
Q969Y0,18,6,5,0,1,2,2,0,0,2
Q8NG76,2,0,1,0,0,1,0,0,0,0
Q9P242,112,75,20,6,1,3,0,4,2,1
O95013,3,1,1,0,0,0,1,0,0,0
Q13093,17,5,2,1,3,1,0,2,2,1
Q99487,9,4,2,2,0,0,0,1,0,0
Q8WX93,151,94,14,4,4,4,0,22,9,0
Q9H999,16,6,3,2,2,0,1,1,1,0
P35913,30,8,2,7,2,3,3,2,0,3
P55085,21,13,3,0,0,1,1,0,1,2
P05165,27,8,5,1,4,6,0,0,2,1
Q9H0J9,32,16,6,2,0,6,0,0,1,1
P57721,20,6,11,3,0,0,0,0,0,0
Q9UN73,47,23,11,4,1,1,0,0,1,6
Q9NZK7,11,1,1,1,0,1,0,5,1,1
Q7Z2X4,11,6,1,1,1,0,1,0,0,1
O75167,96,44,24,10,3,7,0,4,3,1
P78562,33,11,9,0,3,4,0,1,2,3
Q9BUL5,52,30,11,1,1,1,0,6,1,1
Q16816,23,11,0,5,1,2,1,0,2,1
Q9NRX4,7,3,1,2,0,1,0,0,0,0
P14222,22,11,4,2,0,1,0,3,0,1
Q6UWI2,50,15,32,0,0,0,1,0,1,1
P20265,37,22,4,1,0,0,0,9,1,0
P45877,9,1,4,1,0,3,0,0,0,0
Q8IV08,20,5,7,2,0,2,0,0,3,1
P48147,18,9,2,1,1,1,1,1,1,1
Q96LW4,29,14,5,2,2,4,0,0,1,1
Q86XN7,112,25,61,4,1,4,0,11,4,2
Q12913,98,32,48,12,1,3,1,1,0,0
P22102,27,9,4,8,2,2,1,0,0,1
Q969U7,7,3,3,0,0,0,1,0,0,0
Q8IY67,48,19,6,3,0,2,0,5,7,6
Q5RL73,12,7,4,1,0,0,0,0,0,0
Q9Y580,24,17,3,1,1,0,0,0,2,0
P25800,6,1,1,0,0,2,2,0,0,0
P10276,50,17,11,1,3,4,2,10,0,2
P46063,29,15,5,2,1,2,0,0,0,4
A6NED2,18,8,2,0,0,1,0,1,5,1
Q9H0U4,18,3,3,4,1,1,3,2,1,0
Q96BD5,67,26,18,8,3,0,0,5,5,2
Q6ZS72,30,12,9,2,0,0,0,2,4,1
O60664,32,14,7,8,0,2,0,0,0,1
Q15165,9,3,3,0,3,0,0,0,0,0
P27169,15,4,3,1,0,4,1,0,1,1
P07738,17,6,4,2,1,2,0,0,2,0
Q6ZRT6,22,15,1,0,0,0,1,3,1,1
P28827,51,13,20,3,4,5,3,0,2,1
P54829,43,19,3,4,1,1,1,9,3,2
P43378,17,10,2,1,0,2,0,1,0,1
P11498,55,21,6,4,1,17,0,2,4,0
O15315,12,4,0,1,1,0,1,2,3,0
Q9HD33,11,5,2,1,0,1,1,0,0,1
Q96GC5,8,0,1,1,2,3,1,0,0,0
Q96C74,7,4,0,0,0,2,0,1,0,0
O95602,70,35,6,11,2,6,0,1,5,4
Q8ND24,68,35,13,3,3,4,2,5,2,1
Q96KT7,12,2,5,0,1,0,1,0,1,2
Q8N5S1,21,2,1,1,1,0,1,11,3,1
P78383,4,0,0,0,0,1,0,0,0,3
A6NKX4,26,9,4,0,0,0,2,1,4,6
P23526,20,3,1,6,2,3,0,1,3,1
Q969I6,21,12,5,0,2,1,0,0,0,1
Q96QD8,22,8,8,0,3,0,0,0,2,1
Q9BXS9,24,10,4,3,0,0,2,0,0,5
Q99624,14,4,5,2,1,1,0,0,0,1
Q9HBR0,55,16,2,27,0,0,0,2,1,7
Q9BSG5,18,10,4,0,0,0,1,2,1,0
O00337,18,8,4,2,0,2,0,0,0,2
W5XKT8,11,2,1,2,0,1,2,2,1,0
P33763,7,4,0,1,1,1,0,0,0,0
Q8N1S5,12,3,2,4,1,0,0,0,2,0
Q6UXD7,29,13,9,0,1,1,0,1,3,1
Q9UP95,45,16,9,7,1,3,5,2,1,1
A6ZKI3,2,0,0,0,1,0,0,0,0,1
Q9Y6M7,90,50,13,10,4,3,1,5,2,2
Q9Y6R1,58,34,11,3,3,3,2,0,1,1
Q9Y285,25,10,3,3,0,4,0,4,1,0
Q9Y399,20,7,5,4,0,0,0,1,2,1
A6NIM6,5,1,1,0,0,0,0,0,1,2
Q8N2U9,8,5,1,1,0,0,0,0,0,1
Q2MKA7,11,4,1,3,0,0,0,2,0,1
P46059,29,8,9,1,0,3,2,2,1,3
Q5SY68,6,4,1,0,0,0,0,1,0,0
P61619,14,4,4,2,0,0,1,0,2,1
Q9H1X1,21,12,3,1,1,2,0,0,1,1
P48065,18,4,3,3,0,0,2,0,1,5
Q8TBB6,21,13,3,1,1,0,0,0,0,3
Q695T7,13,5,5,0,0,0,0,0,0,3
P82675,20,7,0,4,1,3,0,2,2,1
Q9NP91,10,2,2,1,0,1,1,0,1,2
P63162,50,5,5,0,0,1,0,33,5,1
P59025,8,4,0,0,0,1,1,1,0,1
P82664,10,5,2,1,1,0,1,0,0,0
Q7Z5N4,116,49,41,8,1,1,0,3,9,4
P83859,8,5,0,1,0,0,0,0,1,1
Q9NQN1,4,2,1,0,0,0,0,0,1,0
Q9H7Z3,51,20,9,9,3,4,1,1,2,2
Q9Y5F7,46,27,8,1,1,3,0,2,2,2
Q9Y5I4,54,26,13,5,1,3,1,1,1,3
Q8NGA5,8,1,2,0,0,1,1,3,0,0
O60658,31,14,5,3,0,4,1,2,2,0
Q9HCL0,65,37,16,4,1,3,1,2,1,0
P12004,14,6,1,1,1,4,0,1,0,0
Q8WW12,23,13,3,2,1,4,0,0,0,0
B3GLJ2,5,0,1,0,0,0,2,0,1,1
Q86WH2,18,10,1,5,0,2,0,0,0,0
Q9NS23,20,8,2,3,0,2,2,0,3,0
Q8TD07,8,2,4,0,0,0,0,0,0,2
P62826,10,2,2,1,0,4,0,0,0,1
P48380,30,14,9,1,2,2,0,0,1,1
Q9P2R6,171,86,50,10,3,1,0,12,6,3
Q6ZV50,22,14,1,1,0,2,0,2,0,2
Q96D71,110,59,27,7,1,2,0,10,3,1
Q9BVS4,37,25,7,2,1,1,0,0,0,1
P30050,13,5,1,3,0,1,0,2,1,0
Q03395,17,4,0,2,0,1,1,4,2,3
Q96E14,9,5,0,1,0,1,0,0,2,0
O75116,89,41,10,15,7,4,0,6,1,5
O76064,24,7,10,3,1,0,0,1,2,0
Q5TBB1,20,8,3,1,3,4,1,0,0,0
P04844,19,3,6,1,6,1,0,1,0,1
O43159,38,19,6,2,0,3,2,2,1,3
P10301,24,6,3,3,0,1,1,6,3,1
P62241,16,6,2,3,0,2,0,1,2,0
Q9BPW5,12,5,1,3,0,0,1,2,0,0
Q8WUG5,20,2,12,0,0,0,1,0,2,3
Q9NTN3,12,1,2,5,0,2,0,0,0,2
Q495N2,9,4,2,0,0,0,0,0,0,3
Q9NP92,17,3,5,2,1,1,1,0,2,2
Q8NG04,21,10,3,1,0,1,1,0,1,4
Q8IZ73,31,12,1,10,0,2,0,3,3,0
Q5SSQ6,6,0,2,1,0,0,0,1,1,1
P60896,4,1,0,2,1,0,0,0,0,0
Q9Y371,19,6,5,6,0,2,0,0,0,0
Q2NKQ1,80,45,16,8,1,5,0,1,2,2
P17482,12,6,1,2,1,1,0,0,0,1
A0A0B4J1Y9,11,7,0,0,1,1,1,0,0,1
Q9NWY4,15,5,2,3,0,5,0,0,0,0
P0CJ69,4,2,0,0,0,0,1,0,1,0
P40305,7,1,6,0,0,0,0,0,0,0
P01579,14,4,2,0,1,2,2,0,2,1
Q9NPH3,24,11,7,1,1,1,2,0,0,1
Q8N9C0,41,13,5,8,2,8,0,2,1,2
Q8NFM7,36,13,8,4,4,0,1,1,4,1
Q9NSI5,36,12,8,1,0,0,13,1,0,1
O95760,15,5,1,1,3,1,1,1,2,0
Q96BM0,7,2,1,1,0,1,0,2,0,0
Q5T953,37,10,1,2,0,0,1,16,4,3
P98153,26,12,7,1,0,1,0,2,2,1
Q5TF58,30,17,2,2,2,1,0,5,1,0
Q96RY7,42,21,5,3,2,7,0,1,2,1
P50221,27,12,9,3,0,0,1,1,0,1
P30301,6,1,2,1,0,0,0,0,2,0
P50222,26,15,2,4,0,1,1,2,0,1
Q16819,32,18,11,1,1,0,0,0,0,1
Q9HAP2,68,23,27,5,1,3,1,3,3,2
Q16820,31,16,12,0,0,0,1,0,2,0
Q9UH92,33,19,4,4,1,0,0,1,4,0
Q8IXI2,19,9,4,2,1,1,0,0,2,0
Q8IXI1,24,8,5,4,0,3,0,1,3,0
Q9H081,10,6,0,1,0,3,0,0,0,0
Q9ULR0,18,8,0,7,0,2,0,0,0,1
O75578,43,18,12,4,2,1,1,0,4,1
Q96DU7,39,16,6,4,1,1,5,2,2,2
Q8IV33,36,18,7,2,5,2,2,0,0,0
Q5TA45,12,4,2,1,2,1,0,1,1,0
Q96L93,73,36,9,14,3,8,0,0,1,2
P43630,27,13,8,0,0,1,1,0,3,1
P0DP09,14,9,1,0,0,0,1,0,1,2
P42166,59,36,9,5,1,4,1,0,3,0
P11279,44,11,19,1,0,1,1,9,2,0
Q53QV2,6,5,0,0,0,0,1,0,0,0
Q9BUB5,50,20,12,5,2,3,0,3,1,4
O43934,12,6,3,0,0,0,0,1,0,2
Q9Y6X9,76,43,8,12,4,6,2,0,1,0
Q96DH6,23,9,5,0,0,2,0,2,5,0
P25713,14,2,2,1,0,0,5,4,0,0
P42898,20,7,8,1,3,0,0,1,0,0
Q8IVL0,267,148,50,22,6,13,0,10,14,4
Q96H55,26,14,5,1,0,2,0,1,1,2
Q5VVJ2,45,20,5,9,2,6,1,0,1,1
Q9ULV0,66,29,9,9,4,11,1,0,0,3
Q9Y623,143,70,10,36,8,14,0,1,1,3
P02144,12,3,0,5,1,2,0,0,1,0
P59044,25,9,1,5,1,2,1,1,1,4
Q9NZ94,38,8,13,4,0,5,0,4,2,2
